Epoch,Phase,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Runtime(ms),Throughput(ops/sec),AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),WatcherSamples,WatcherCPU_min,WatcherCPU_q1,WatcherCPU_median,WatcherCPU_q3,WatcherCPU_max,WatcherMemoryKB_min,WatcherMemoryKB_q1,WatcherMemoryKB_median,WatcherMemoryKB_q3,WatcherMemoryKB_max
14,extend,EXTEND,2,145723855,45346029,44331692,14709067,1400602,14592168,0,0,613,23621,40332206,314696534,3901886175,7398497592,638373842,91716678,12522501446902,14697239117,1913736360,78560893,227424,439.7073308006191,2266.27468,392,65919,8127,13207,219,26.6,35.650000000000006,36.8,39.1,51.6,148560.0,1742842.0,2815876.0,3984824.0,6208788.0
14,run,READ,2,150973827,46687900,45652240,14709851,1400624,14592952,0,0,613,23622,40419419,314696534,3901886274,7398497765,638392955,91716708,12522758276154,14698236657,1914294314,78571393,12559,7962.417389919579,121.59833,60,35807,168,358,12,44.9,74.575,78.8,79.875,81.4,1254136.0,1935283.0,1966658.0,1971848.0,1977556.0
14,reference,READ,1,4277839,1746870,1419166,10181,12,62,0,0,613,23622,40419458,314696534,3901886274,7398497765,638392955,91716708,12522758276154,14698236657,1914294314,78571393,3580,27932.96089385475,31.81759,22,14911,43,75,3,36.6,43.400000000000006,50.2,52.85,55.5,44492.0,44492.0,44492.0,44492.0,44492.0
14,clean-run,READ,85,3427307,1188258,1177289,116037,1,0,4,385024,613,23623,40675674,314696534,3901886275,7398519871,638426469,91716727,12522937623685,14698474721,1914295303,78578670,11083,9022.827754218171,106.81508,49,31471,148,317,10,43.1,69.425,75.45,76.925,87.8,196720.0,222427.0,225292.0,229533.0,427760.0
14,avg-run,READ,87,7998135,2624006,2572984,216037,5,0,4,385024,613,23623,40675674,314696534,3901886275,7398540701,638426469,91716727,12523104325469,14698685480,1914295411,78578670,10175,9828.009828009828,97.85917,72,21727,120,176,9,41.7,68.2,74.2,76.1,76.4,203072.0,218432.0,218560.0,218560.0,218560.0
15,extend,EXTEND,2,163553280,51301109,50214080,16860030,1500657,16738542,0,0,613,23634,41765054,314696534,3901953689,7398567615,638614920,91716802,12529149313944,14706297479,1915012184,78578670,233601,428.0803592450375,2327.68252,388,65983,8415,13983,224,26.3,37.5,39.9,40.7,54.3,152228.0,2795289.0,2867864.0,4108006.0,6154144.0
15,run,READ,2,168940092,52702315,51593963,16860834,1500679,16739345,0,0,613,23634,41781589,314696534,3901953691,7398567951,638632344,91718514,12529346055978,14707372335,1915349798,78584717,13351,7490.075649764062,129.64428,62,39807,183,378,12,42.2,73.0,77.94999999999999,79.725,80.4,1165176.0,2028226.0,2075248.0,2081294.0,2082580.0
15,reference,READ,1,4580498,1872564,1520457,10181,12,62,0,0,613,23634,41781589,314696534,3901953691,7398567951,638632344,91718514,12529346055978,14707372335,1915349798,78584717,3871,25833.11805734952,34.79713,23,12463,47,75,3,38.8,44.5,50.2,52.5,54.8,44492.0,44492.0,44492.0,44492.0,44492.0
15,clean-run,READ,53,3487962,1245624,1234655,120726,1,0,4,385024,613,23635,42146460,314696534,3901953792,7398591428,638654160,91718518,12529536541769,14707621160,1915350787,78596410,11595,8624.407072013799,111.91192,51,31391,161,360,11,38.2,74.6,76.8,77.65,80.2,193264.0,234724.0,238252.0,241844.0,427316.0
15,avg-run,READ,55,8077305,2690790,2639768,220726,5,0,4,385024,613,23635,42146460,314696534,3901953792,7398616759,638654160,91718518,12529713251721,14707831932,1915350898,78596410,10607,9427.736400490245,102.37854,74,24847,124,182,10,43.4,70.30000000000001,75.25,76.95,78.7,225292.0,255628.0,255692.0,255692.0,255692.0
16,extend,EXTEND,2,182074187,57566321,56406861,19140664,1600712,19014347,0,0,613,23647,43321387,314696534,3902037755,7398654471,638855923,91718687,12536111069739,14715826765,1916075413,78596410,240467,415.8574773253711,2396.47533,389,69951,8735,14743,231,22.5,38.0,40.1,41.1,53.2,155048.0,2815346.0,3082160.0,4380010.0,6402136.0
