run,epoch,phase,p95_latency_ms
full_view_run2,54,extend,30.687
full_view_run2,55,extend,29.903
full_view_run2,56,extend,31.135
full_view_run2,57,extend,30.159
full_view_run2,58,extend,30.831
full_view_run2,59,extend,31.023
full_view_run2,60,extend,32.543
full_view_run2,61,extend,32.831
full_view_run2,62,extend,32.671
full_view_run2,63,extend,34.111
full_view_run2,64,extend,34.047
full_view_run2,65,extend,34.335
full_view_run2,66,extend,34.495
full_view_run2,67,extend,35.263
full_view_run2,68,extend,37.567
full_view_run2,69,extend,36.959
full_view_run2,70,extend,38.367
full_view_run2,71,extend,39.903
full_view_run2,72,extend,39.167
full_view_run2,73,extend,40.159
full_view_run2,74,extend,39.455
full_view_run2,75,extend,41.375
full_view_run2,76,extend,41.343
full_view_run2,77,extend,42.239
full_view_run2,78,extend,44.735
full_view_run2,79,extend,43.871
full_view_run2,80,extend,43.775
full_view_run2,81,extend,45.375
full_view_run2,82,extend,46.335
full_view_run2,83,extend,47.487
full_view_run2,84,extend,46.719
full_view_run2,85,extend,49.247
full_view_run2,86,extend,50.431
full_view_run2,87,extend,50.655
full_view_run2,88,extend,50.431
full_view_run2,89,extend,52.447
full_view_run2,90,extend,50.815
full_view_run2,91,extend,51.615
full_view_run2,92,extend,53.567
full_view_run2,93,extend,52.255
full_view_run2,94,extend,53.407
full_view_run2,95,extend,54.527
full_view_run2,96,extend,55.423
full_view_run2,97,extend,56.351
full_view_run2,98,extend,56.927
full_view_run2,99,extend,58.623
full_view_run2,100,extend,57.311
full_view_run2,1,run,0.076
full_view_run2,2,run,0.096
full_view_run2,3,run,0.111
full_view_run2,4,run,0.121
full_view_run2,5,run,0.133
full_view_run2,6,run,0.142
full_view_run2,7,run,0.162
full_view_run2,8,run,0.17
full_view_run2,9,run,0.178
full_view_run2,10,run,0.194
full_view_run2,11,run,0.199
full_view_run2,12,run,0.204
full_view_run2,13,run,0.218
full_view_run2,14,run,0.224
full_view_run2,15,run,0.238
full_view_run2,16,run,0.239
full_view_run2,17,run,0.254
full_view_run2,18,run,0.261
full_view_run2,19,run,0.271
full_view_run2,20,run,0.301
full_view_run2,21,run,0.299
full_view_run2,22,run,0.304
full_view_run2,23,run,0.316
full_view_run2,24,run,0.324
full_view_run2,25,run,0.329
full_view_run2,26,run,0.337
full_view_run2,27,run,0.336
full_view_run2,28,run,0.352
full_view_run2,29,run,0.361
full_view_run2,30,run,0.368
full_view_run2,31,run,0.368
full_view_run2,32,run,0.381
full_view_run2,33,run,0.385
full_view_run2,34,run,0.387
full_view_run2,35,run,0.396
full_view_run2,36,run,0.402
full_view_run2,37,run,0.414
full_view_run2,38,run,0.425
full_view_run2,39,run,0.422
full_view_run2,40,run,0.432
full_view_run2,41,run,0.44
full_view_run2,42,run,0.442
full_view_run2,43,run,0.463
full_view_run2,44,run,0.456
full_view_run2,45,run,0.49
full_view_run2,46,run,0.468
full_view_run2,47,run,0.484
full_view_run2,48,run,0.517
full_view_run2,49,run,0.589
full_view_run2,50,run,0.621
full_view_run2,51,run,0.53
full_view_run2,52,run,0.525
full_view_run2,53,run,0.543
full_view_run2,54,run,0.526
full_view_run2,55,run,0.552
full_view_run2,56,run,0.639
full_view_run2,57,run,0.558
full_view_run2,58,run,0.569
full_view_run2,59,run,0.601
full_view_run2,60,run,0.713
full_view_run2,61,run,0.966
full_view_run2,62,run,0.825
full_view_run2,63,run,0.888
full_view_run2,64,run,0.898
full_view_run2,65,run,0.635
full_view_run2,66,run,0.626
full_view_run2,67,run,0.632
full_view_run2,68,run,0.641
full_view_run2,69,run,0.693
full_view_run2,70,run,0.909
full_view_run2,71,run,0.961
full_view_run2,72,run,0.668
full_view_run2,73,run,1.26
full_view_run2,74,run,1.292
full_view_run2,75,run,1.298
full_view_run2,76,run,1.122
full_view_run2,77,run,1.122
full_view_run2,78,run,0.809
full_view_run2,79,run,0.83
full_view_run2,80,run,0.884
full_view_run2,81,run,1.048
full_view_run2,82,run,1.084
full_view_run2,83,run,1.194
full_view_run2,84,run,1.228
full_view_run2,85,run,1.689
full_view_run2,86,run,1.355
full_view_run2,87,run,2.201
