Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,page_cache_hits,page_cache_faults,transaction_commits,transaction_rollbacks,nodes_created,nodes_deleted,relationships_created,relationships_deleted,properties_set,index_hits,index_misses,lock_acquisition_time,lock_wait_time,checkpoint_total_time,checkpoint_total_events,log_rotation_events,log_appended_bytes,log_rotation_total_time,transaction_started,transaction_peak_concurrent,transaction_active,transaction_terminated,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us)
10,reference,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18433,2712.5264471328596,50000,353.79894,177,23519,600,992,50000
10,clean-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18265,2737.476047084588,50000,350.88586,172,22287,600,993,50000
10,avg-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18188,2749.0653177919507,50000,349.39384,178,20799,555,970,50000
11,extend,500,true,uniform,EXTEND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,22205,225.17451024544022,5000,4335.3752,1715,29439,5127,5883,5000
11,run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18248,2740.0263042525207,50000,350.16612,176,60127,569,958,50000
11,reference,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18458,2708.852530068263,50000,354.71014,175,23055,621,1027,50000
11,clean-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17960,2783.964365256125,50000,344.84974,173,22687,562,958,50000
11,avg-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18495,2703.433360367667,50000,355.17212,173,21839,605,1007,50000
12,extend,500,true,uniform,EXTEND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,22447,222.74691495522788,5000,4386.2602,1748,29567,5139,5963,5000
12,run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18408,2716.2103433289876,50000,353.27492,179,51615,598,964,50000
12,reference,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18073,2766.5578487246166,50000,346.86804,151,21711,530,985,50000
12,clean-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18590,2689.6180742334586,50000,357.09564,180,21231,598,997,50000
12,avg-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18515,2700.513097488523,50000,355.90438,175,23487,599,975,50000
13,extend,500,true,uniform,EXTEND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,22617,221.07264447097316,5000,4415.964,1705,30463,5187,5971,5000
13,run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18664,2678.9541363051862,50000,358.73538,184,59295,599,961,50000
13,reference,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18767,2664.251079021687,50000,360.79654,183,24639,609,997,50000
13,clean-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18404,2716.8006955009782,50000,353.53882,182,22031,560,947,50000
13,avg-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18376,2720.940356987375,50000,352.95544,180,20479,524,973,50000
14,extend,500,true,uniform,EXTEND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,22508,222.1432379598365,5000,4394.4084,1711,26975,5135,5643,5000
14,run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18658,2679.8156286847466,50000,358.68284,185,92415,549,975,50000
14,reference,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18623,2684.852064651238,50000,357.7854,180,21983,563,1001,50000
14,clean-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18059,2768.7025859682153,50000,346.61524,181,22015,612,981,50000
14,avg-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18597,2688.605689089638,50000,356.98624,184,21455,543,985,50000
15,extend,500,true,uniform,EXTEND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,22507,222.15310792197982,5000,4397.6614,1674,38815,5083,5567,5000
15,run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18616,2685.8616244091104,50000,357.5601,164,64959,630,994,50000
15,reference,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,19161,2609.4671468086217,50000,368.28898,189,23759,615,1050,50000
15,clean-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18801,2659.4330088825063,50000,361.44456,185,21711,600,1015,50000
15,avg-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,19296,2591.2106135986733,50000,371.07494,187,23343,640,1027,50000
16,extend,500,true,uniform,EXTEND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,22842,218.89501794939147,5000,4462.5214,1714,29311,5203,6067,5000
16,run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18560,2693.9655172413795,50000,356.7691,170,33343,586,992,50000
16,reference,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,19030,2627.430373095113,50000,366.04922,191,21551,583,1025,50000
16,clean-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,19065,2622.6068712300025,50000,366.3855,187,20383,608,994,50000
16,avg-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,19135,2613.0128037627383,50000,367.8657,182,21919,626,999,50000
17,extend,500,true,uniform,EXTEND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,22834,218.9717088552159,5000,4462.0522,1765,31503,5203,5951,5000
17,run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18843,2653.5052804755082,50000,362.25572,189,36127,594,962,50000
17,reference,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18734,2668.944165688054,50000,360.33036,185,21887,577,983,50000
17,clean-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18731,2669.371629918317,50000,360.40294,184,21663,545,971,50000
17,avg-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,19391,2578.5158063018926,50000,373.18644,176,21055,621,1039,50000
18,extend,500,true,uniform,EXTEND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,22981,217.57103694356206,5000,4492.3288,1801,37599,5207,5707,5000
18,run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,19377,2580.3787996077826,50000,373.0113,192,124863,631,993,50000
18,reference,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,19177,2607.289982791886,50000,369.07472,190,20879,593,1008,50000
18,clean-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18926,2641.8683292824685,50000,364.01834,192,21087,535,986,50000
18,avg-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,19172,2607.969956186105,50000,368.7408,189,21295,614,1000,50000
19,extend,500,true,uniform,EXTEND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,23100,216.45021645021646,5000,4516.2762,1723,30191,5255,6043,5000
19,run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18938,2640.194318301827,50000,364.03312,181,57791,614,1002,50000
19,reference,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,19142,2612.057256295058,50000,368.52866,193,21183,596,1050,50000
19,clean-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,19087,2619.5840100592027,50000,366.9832,191,21183,564,1018,50000
19,avg-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,19113,2616.0205096007953,50000,367.73086,193,20975,585,993,50000
20,extend,500,true,uniform,EXTEND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,22820,219.10604732690624,5000,4459.4258,1870,28159,5119,5515,5000
20,run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,19934,2508.277315139962,50000,383.87458,203,81919,639,1005,50000
20,reference,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,19599,2551.150568906577,50000,377.12768,176,21711,597,1008,50000
20,clean-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,19667,2542.329791020491,50000,378.6826,199,22111,638,1048,50000
20,avg-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,19376,2580.5119735755575,50000,372.78922,199,22623,572,1003,50000
21,extend,500,true,uniform,EXTEND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,23270,214.86892995272885,5000,4549.3836,1896,37855,5263,6099,5000
21,run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,19582,2553.365335512205,50000,376.75072,195,140287,588,990,50000
21,reference,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,20334,2458.9357725976197,50000,391.57444,194,22767,684,1029,50000
21,clean-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,19021,2628.673571315914,50000,365.73884,174,22863,612,1020,50000
