Epoch,Phase,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),WatcherSamples,WatcherCPU_min,WatcherCPU_q1,WatcherCPU_median,WatcherCPU_q3,WatcherCPU_max,WatcherMemoryKB_min,WatcherMemoryKB_q1,WatcherMemoryKB_median,WatcherMemoryKB_q3,WatcherMemoryKB_max
45,reference,READ,47458,13620287,5749714,4560398,10119,1,0,0,0,681,43437,476890130,562144185,6481595665,11849193169,1134814796,169307167,23303529120264,27423895824,3623171355,79890310,4542,22016.73271686482,100000,40.29681,26,15111,55,89,4,31.1,44.075,51.15,54.55,56.5,72328.0,72355.0,72364.0,72364.0,72364.0
46,reference,READ,49171,13921892,5883418,4661815,10119,1,0,0,0,681,43475,480477456,562185871,6484291467,11851027052,1135450695,169364840,23323898922732,27450815613,3627206423,79905664,4357,22951.57218269452,100000,38.25173,24,14527,50,89,4,29.2,43.0,50.2,53.475,55.5,61964.0,61964.0,61964.0,61964.0,61964.0
47,reference,READ,50896,14223485,6017122,4763232,10119,1,0,0,0,681,43513,483672129,562264244,6487347977,11853085920,1136082020,169420647,23344462976193,27478095488,3631044050,79923422,4631,21593.608291945584,100000,41.14742,27,12911,55,90,4,30.3,43.5,50.25,53.075,54.5,61084.0,61108.0,61116.0,61116.0,61116.0
48,reference,READ,52621,14525151,6151716,4864663,10119,1,0,0,0,681,43552,486766645,562358767,6490508471,11855199171,1136772056,169479619,23365532109697,27505946142,3634908777,79938178,4366,22904.260192395785,100000,38.50633,24,12015,50,85,4,31.1,44.675,51.8,54.75,55.8,60792.0,60804.0,60808.0,60808.0,60808.0
49,reference,READ,54363,14826727,6285420,4966080,10119,1,0,0,0,681,43592,490122141,562453384,6493354786,11857352616,1137516022,169535664,23387151633126,27534481719,3638939932,79952931,4445,22497.18785151856,100000,39.57138,26,14231,54,91,4,30.3,44.25,51.9,55.2,56.1,60980.0,61010.0,61020.0,61020.0,61020.0
50,reference,READ,56104,15128450,6420904,5067525,10119,1,0,0,0,681,43633,494223667,562510144,6496011036,11859526964,1138360258,169579213,23409173643563,27563228170,3643301142,79968488,4052,24679.1707798618,100000,35.67021,26,13191,48,85,3,32.5,40.7,48.9,52.85,56.8,61064.0,61080.0,61096.0,61096.0,61096.0
51,reference,READ,57831,15430114,6555498,5168956,10119,1,0,0,0,681,43675,498166803,562600281,6498824246,11861778351,1139119576,169621827,23431955929208,27593053311,3647453381,79984332,4411,22670.596236681024,100000,39.17367,26,13383,54,112,4,30.6,44.175,52.05,55.9,57.4,61124.0,61130.0,61132.0,61132.0,61132.0
52,reference,READ,59570,15731839,6690982,5270401,10119,1,0,0,0,681,43717,501700361,562686020,6502553659,11864047242,1139917008,169694034,23454913786766,27623179330,3651968087,79999996,4445,22497.18785151856,100000,39.35175,26,15567,55,91,4,28.0,42.925,50.0,53.125,56.2,60852.0,60912.0,60932.0,60932.0,60932.0
53,reference,READ,61309,16033637,6827356,5371860,10119,1,0,0,0,681,43760,505212994,562798338,6506241948,11866343486,1140851003,169749817,23478249519665,27653658269,3656511678,80014802,4464,22401.433691756272,100000,39.82833,26,12695,51,93,4,31.4,46.25,53.1,55.375,56.5,61336.0,61354.0,61360.0,61360.0,61360.0
54,reference,READ,63036,16335447,6963730,5473319,10119,1,0,0,0,681,43804,508989900,562899454,6509289872,11868705299,1141685502,169797511,23502153452495,27684790517,3661123339,80031788,4530,22075.05518763797,100000,40.27442,25,12983,55,89,4,31.1,44.075,51.35,54.875,56.6,61420.0,61456.0,61468.0,61468.0,61468.0
