Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,CPU,Memory,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
13,avg-run,10000,true,uniform,READ,0.7,18.4,119,7922996,2590215,2539193,211452,5,0,0,4,385024,735,22628,1892172770,32024328,1059809873,905692734,617181603,14481144,11999790580267,14256974680,1819796009,37114566,1,0,0,0,0,13968,7159.22107674685,100000,134.40499,70,14495,387,547,100000
14,extend,10000,true,zipfian,EXTEND,41.2,28.7,2,145367015,45110089,44094744,14607571,1400584,14490673,0,0,0,735,22638,1893125164,32024328,1059877577,905721981,617369769,14481218,12005246099939,14263886111,1820391551,37114566,0,0,0,0,1,234569,426.3137925301297,100000,2336.0413,397,51871,8503,14039,100000
14,run,10000,true,uniform,READ,63.5,18.6,2,150676074,46446960,45410292,14608355,1400606,14491457,0,0,0,735,22638,1893155139,32024328,1059877675,905722158,617369769,14481218,12005455722141,14264899949,1820742365,37117958,1,0,0,0,0,19404,5153.576582148011,100000,188.38397,61,30831,478,650,100000
14,reference,10000,true,uniform,READ,0.8,18.6,1,4276712,1749070,1418739,10119,1,0,0,0,0,735,22638,1893155188,32024328,1059877675,905722158,617369769,14481218,12005455722191,14264899950,1820742365,37117958,1,0,0,0,0,4429,22578.460149017836,100000,39.55234,25,12703,55,98,100000
14,clean-run,10000,true,uniform,READ,0.8,20.1,117,3424680,1187522,1176553,116053,1,0,0,4,385024,735,22639,1893495012,32024328,1059877676,905744306,617432800,14481231,12005635115710,14265138460,1820743460,37131636,1,0,0,0,0,15200,6578.9473684210525,100000,146.494,51,30431,409,598,100000
14,avg-run,10000,true,uniform,READ,0.8,20.1,119,7995214,2623302,2572280,216053,5,0,0,4,385024,735,22639,1893495012,32024328,1059877676,905765136,617432800,14481231,12005801759293,14265348816,1820743462,37131636,1,0,0,0,0,15559,6427.148274310688,100000,150.07792,70,14751,423,560,100000
15,extend,10000,true,zipfian,EXTEND,42.6,29.1,2,163219608,50988017,49898929,16722540,1500639,16600941,0,0,0,735,22650,1894598845,32024328,1059920108,905767260,617632331,14481303,12011751445272,14272918681,1821502828,37131636,0,0,0,0,1,242954,411.6005498983347,100000,2420.16878,406,20079,8807,14607,100000
15,run,10000,true,uniform,READ,0.8,20.2,2,168485923,52369744,51259333,16723344,1500661,16601743,0,0,0,735,22650,1894623013,32024328,1059920209,905767360,617632331,14481303,12011940795559,14273898636,1821818954,37137929,1,0,0,0,0,18373,5442.769281010178,100000,178.19425,64,31743,445,632,100000
15,reference,10000,true,uniform,READ,0.8,20.2,1,4579446,1875654,1520044,10119,1,0,0,0,0,735,22650,1894623060,32024328,1059920209,905767360,617632331,14481303,12011940795559,14273898636,1821818954,37137929,1,0,0,0,0,4253,23512.814483893722,100000,37.63776,24,12047,52,83,100000
15,clean-run,10000,true,uniform,READ,0.8,20.2,53,3480408,1226242,1215273,120862,1,0,0,4,385024,735,22651,1894955554,32024328,1059920210,905790845,617689865,14481311,12012131352135,14274148144,1821820052,37152999,1,0,0,0,0,16542,6045.218232378189,100000,159.91483,57,32863,443,616,100000
15,avg-run,10000,true,uniform,READ,0.8,20.2,55,8069471,2671680,2620658,220862,5,0,0,4,385024,735,22651,1894955554,32024328,1059920210,905816176,617689865,14481311,12012307995718,14274358500,1821820054,37152999,1,0,0,0,0,15731,6356.874960269532,100000,151.95362,78,18783,462,578,100000
16,extend,10000,true,zipfian,EXTEND,43.4,42.2,2,180992239,57186191,56023412,18979962,1600694,18853793,0,0,0,735,22663,1896153902,32024328,1060096332,905946151,617900685,14483702,12018521324046,14282013604,1822359541,37152999,0,0,0,0,1,246850,405.10431436094797,100000,2459.08955,388,218495,9191,15527,100000
16,run,10000,true,uniform,READ,67.3,24.1,2,186984790,58608017,57424102,18980769,1600716,18854599,0,0,0,735,22663,1896218957,32024328,1060096336,905946158,617900685,14483702,12018854741987,14283425489,1823080832,37162476,1,0,0,0,0,19265,5190.760446405398,100000,187.06164,65,44703,466,654,100000
16,reference,10000,true,uniform,READ,0.9,24.1,1,4882180,2002238,1621349,10119,1,0,0,0,0,735,22663,1896219003,32024328,1060096336,905946158,617900685,14483702,12018854741987,14283425489,1823080832,37162476,1,0,0,0,0,4259,23479.690068091102,100000,37.82087,24,13807,53,92,100000
16,clean-run,10000,true,uniform,READ,0.9,26.9,53,3533905,1265122,1254153,125500,1,0,0,4,385024,735,22664,1896660461,32024328,1060096338,905971037,617959550,14483753,12019056409258,14283685708,1823081928,37176202,1,0,0,0,0,18743,5335.325188070213,100000,181.85939,56,35999,475,626,100000
16,avg-run,10000,true,uniform,READ,0.9,26.9,55,8131422,2719848,2668826,225500,5,0,0,4,385024,735,22664,1896660461,32024328,1060096338,905996368,617959550,14483753,12019243052821,14283896064,1823081930,37176202,1,0,0,0,0,16673,5997.720866070893,100000,161.21287,81,19727,472,582,100000
17,extend,10000,true,zipfian,EXTEND,46,46.4,4435,200132224,63682188,62446376,21369688,1700749,21238400,0,0,0,735,22676,1897899695,32025011,1060187184,906041034,618151911,14483845,12025781131749,14291933395,1823616441,37176202,0,0,0,0,1,240992,414.9515336608684,100000,2400.88315,378,71807,9367,16159,100000
17,run,10000,true,uniform,READ,0.9,27.3,62432,206235939,65145119,63888195,21370512,1700771,21239224,0,0,0,735,22677,1898023773,32025374,1060216256,906048210,618170894,14484799,12026167123998,14293461377,1824561575,37185633,1,0,0,0,0,21824,4582.1114369501465,100000,212.07039,67,38847,507,675,100000
17,reference,10000,true,uniform,READ,0.9,27.3,136,5184779,2128822,1722654,10119,1,0,0,0,0,735,22677,1898023820,32025374,1060216256,906048313,618170894,14484799,12026167123998,14293461377,1824561575,37185633,1,0,0,0,0,4321,23142.791020597084,100000,38.07092,24,11727,53,85,100000
17,clean-run,10000,true,uniform,READ,1,27.8,111,3590553,1327661,1316692,130628,1,0,0,4,385024,735,22678,1898400508,32025374,1060216258,906075517,618223590,14484839,12026379999883,14293733354,1824562677,37200777,1,0,0,0,0,17363,5759.373380176236,100000,167.98242,61,36191,440,626,100000
17,avg-run,10000,true,uniform,READ,1,27.9,113,8195734,2792671,2741649,230628,5,0,0,4,385024,735,22678,1898400508,32025847,1060216258,906100848,618223590,14484839,12026576643466,14293943710,1824562679,37200777,1,0,0,0,0,16641,6009.254251547383,100000,161.26229,84,15471,474,592,100000
18,extend,10000,true,zipfian,EXTEND,46.8,52.1,433702,219754987,70542474,69234306,23923013,1800804,23786407,0,0,0,735,22691,1899752609,32025916,1060299714,906495035,618436019,14484981,12033535571756,14302502058,1825128386,37200777,0,0,0,0,1,257699,388.04962378588976,100000,2567.60967,393,24687,9975,17519,100000
