Key,Run1
user874912816059361829,2100
user9221418083710133133,1800
user3946517095361975326,2300
user5329829620661706720,2200
user7567391170160704258,2600
user7556898885097888000,2000
user7828173233859725929,2200
user5007637008923300176,2000
user5812101080292730588,1500
user3222768260621140959,2200
user4997363039078325801,1400
user6752434813728457588,2000
user4182406682646079131,2200
user2754896992342218699,1900
user5103094082198296394,2000
user1805750855380096785,1600
user7354714177755096975,2100
user6987982755718262828,2400
user4886509183503403761,2300
user8989654717933156561,2400
user6511517399130787537,1800
user8869086853025400594,2100
user5932668945200486555,2500
user643367765500227140,1700
user2991564855356304835,2000
user8064062821143829734,2100
user5474730001472240105,1800
user6858042526771971499,2100
user2880929314999224678,1900
user7692426901869886023,2000
user1226902401449795803,1400
user6174146320310297054,1900
user4525023903997977743,1200
user8411707869809294592,1900
user1588605996173063704,1900
user7461223496605049899,1900
user890091283141445768,1900
user6033932121519031350,2200
user2513979577744548648,2000
user6651731597922053241,2200
user5218634119792486115,2100
user276977988757691558,1800
user4882382961996276528,2000
user4866862849619894024,2700
user5344789772525948776,2700
user5465015992139406178,2600
user1251794877864713669,2200
user1468598091777448185,2000
user2639233624671572296,2300
user1342784084338284089,2100
user778895782272225163,2400
user6048332312871132958,1900
user190115003791248371,1700
user417410502766799145,2100
user412506005529689581,1700
user7003502868094645332,2600
user5952315279083996292,2000
user8531715774204910111,1800
user6757120995747725269,2200
user4993018502353356685,1600
user5349475954545216457,1600
user2529499690120931152,2000
user7711731590459097195,2200
user8632637305229156341,2200
user2403344037387468491,2800
user4168348136588276088,1800
user5223880262323894244,1900
user5354162136564484138,2300
user8049102669279587678,2200
user6419968232145076669,2300
user4042192483854813427,2000
user6395635716242299251,1800
user6062950819441076449,2100
user7913916297801888220,1500
user3016457331771222701,1800
user296624322641201295,1700
user1332851759787608279,2500
user1458105806714631927,1900
user1482998283129549793,2100
user5108558539947546406,2600
user4403896078578081328,1900
user1709515506375118236,1900
user2297736324343954580,1800
user7239952415890889585,2400
user7215059939475971719,2500
user1005631320735635489,1600
user8405901766765746015,2600
user7923630307134722147,2000
user1125980870425549573,2700
user8531155813692769663,1900
user9104976440309504399,1700
user1453419624695364246,2400
user4515091579447301933,2200
user8502137115770724564,2400
user3468931817750219139,1800
user5817347222824138717,2100
user2538872054159466514,2000
user6979170352191867914,2000
user5335075763193114849,2300
user3589717997875816989,3000
user3589499682657975106,2000
user2398657855368200810,2000
user3695667356213629465,1900
user764277275702281672,1700
user6164213995759621244,2100
user3117720508089767496,2300
user1573987489603120213,1300
user5012323190942567857,1800
user402232035684715206,2100
user185428821771980690,2200
user4761255136576380113,1900
user3227796087934707205,2000
user5103872357928278725,2100
user8521783449654234301,3000
user7923848622352564030,1900
user7466469639136458028,2500
user6038618303538299031,1700
user8034484162709644187,1800
user3474177960281627268,2300
user4997144723860483918,1900
user6767053320298401079,2500
user7687959035068460225,2600
user2870437029936408420,2600
user55146947531390796,2400
user6289686357904486775,1800
user5923296581161951193,2000
user980520529102875740,1900
user2166676174373382355,1400
user1116048545874873763,2400
user311242829211144786,2700
user2061286776547710327,2200
user2156962165040548428,2000
user8184630686051585701,1800
user4163320309274709842,2200
user6993570543543969522,1800
user3242974555016791144,2200
user5927982763181218874,2700
user281664170776959239,1800
user1810437037399364466,1900
user5243526596207403981,2500
user6747406986414891342,2000
user6184078644860972864,1900
user2760703095385767276,2000
user2740496800990117091,2100
user2056258949234144081,2500
user7938248813704665638,2200
user1815123219418632147,2600
user1005413005517793606,2700
user8511851125103558491,1700
user4992458541841216237,2100
user9221199768492291250,2100
user4302974547553835098,2400
user2870996990448548868,1700
user7948741098767481896,1800
user9004054909285258169,2100
user3951203277381243007,2200
user8305758511471482116,1900
user9215611980666584556,2400
user2292490181812546451,1900
user8989436402715314678,2100
user3715313690097139202,2300
user6761807177766992950,2000
user5566279168457950973,1900
user7827613273347585481,2100
user6636553130839969302,2000
user1231930228763362049,2100
user3343896086041037374,1600
user6983296573698995147,1800
user3825389269942078911,1900
user8049662629791728126,2100
user2645039727715120873,1700
user3685735031662953655,1800
user508181394022527682,2300
user8170230494699484093,2100
user3821481363652793561,2000
user5344448127231650211,1700
user4152828024211893584,1900
user1568741347071712084,2200
user4655305778238567637,2200
user3469150132968061022,2300
user517553758061063044,1700
user4038066262347686194,1800
user8652283639112666078,1900
user3353610095373871301,2000
user5122958731299648014,2100
user532732225143146983,1800
user3801616714551441941,2000
user6626839121507135375,2700
user8290580044389398177,2600
user8270373749993747992,2200
user2288022315011120653,2200
user1101088394010631707,2200
user1689869172491608499,2000
user4997704684372624366,2300
user8174698361500909891,2100
user6978610391679727466,2400
user4534737913330811670,2400
user5831747414176240325,2800
user5561033025926542844,2000
user763935630407983107,2000
user296064362129060847,2100
user9004614869797398617,2000
user306556647191877105,1800
user4283669858964623926,1900
user7234706273359481456,2200
user7475842003174993390,1500
user2639575269965870861,1900
user412164360235391016,2200
user6756779350453426704,2200
user2865750847917140739,2100
user176616418245585776,2500
user4303534508065975546,1500
user3700135223015055263,2100
user2056818909746284529,2000
user2408030219406736172,2000
user1714201688394385917,2200
user4409483866403788022,2000
user5364094461115159948,2100
user6149253843895379188,2200
user7456195669291483653,2600
user4987430714527649991,1700
user3931556943497733270,2800
user995698996184959679,2000
user4872108992151302153,2000
user2996592682669871081,2000
user3343336125528896926,2300
user7340313986402995367,2300
user2292708497030388334,2400
user5817128907606296834,2300
user2996251037375572516,1500
user3011211189239814572,2200
user2654753737047954800,2100
user2061505091765552210,2400
user1357184275690385697,1900
user3011771149751955020,1600
user4530051731311543989,1700
user4399209896558813647,2400
user6053236810108242522,1800
user2282216211967572076,2400
user2876243132979956997,1900
user8893979329440318460,2000
user171028630419879082,1800
user1941278872152094808,1500
user1106334536542039836,2300
user7244638597910157266,1900
user5918050438630543064,1800
user3936243125517000951,2300
user4978058350489114629,2600
user2770075459424302638,2200
user1693995393998735732,1900
user768963457721549353,1700
user1353058054183258464,2500
user523359861104611621,2200
user3454531626398117531,1600
user5098066254884730148,2100
user8421080233847829954,1800
user5600544008911404201,1700
user7682712892537052096,1900
user2287803999793278770,2500
user1247108695845445988,2200
user3111914405046218919,1800
user4047438626386221556,1500
user5715865731287752039,1600
user4062398778250463612,1900
user5691533215384974621,1800
user402791996196855654,2400
user4756227309262813867,1800
user2393971673348933129,2100
user6385703391691623441,3200
user3227454442640408640,2000
user8164984352168075964,1300
user6395075755730158803,2300
user1337537941806875960,2600
user6872442718124073107,2500
user5470603779965112872,2200
user176056457733445328,2000
user8753205170136912308,2400
user1473065958578873983,2200
user1574547450115260661,1800
user2745182983009384772,2500
user2282776172479712524,2300
user3107446538244793121,1500
user513427536553935811,2300
user7562145027629296129,3000
user8522343410166374749,1600
