run,phase,driver,driver_label,latency_spearman_rho,throughput_spearman_rho
4,reference,buffers_clean_per_op,Cleaner buffers/op,0.34212396226287356,-0.36455550489970034
4,reference,cache_hit_ratio,Cache-hit ratio,-0.35121512151215123,0.36952627837931085
4,reference,checkpoint_sync_time_per_op,Checkpoint sync time/op,0.33289527797091106,-0.35340573167938255
4,reference,checkpoint_write_time_per_op,Checkpoint write time/op,0.3216326530612245,-0.3384879884621997
4,reference,tup_fetched_per_op,Tuples fetched/op,0.3253088882020266,-0.3430330687316854
4,reference,tup_returned_per_op,Tuples returned/op,0.32946761385875833,-0.3480644308200834
4,reference,wal_buffers_full_per_op,WAL buffers full/op,0.11260358688930118,-0.1333283858596562
4,reference,wal_bytes_per_op,WAL bytes/op,0.33128014842300557,-0.3508257652510124
4,reference,wal_fpi_per_op,WAL FPIs/op,0.32884353741496597,-0.347467663598719
4,reference,wal_records_per_op,WAL records/op,0.3315769944341373,-0.3511102453173209
5,reference,blks_hit_per_op,Block hits/op,0.2630569755989299,-0.2555558045431421
5,reference,blks_read_per_op,Block reads/op,0.4240298145293856,-0.4434359296254688
5,reference,buffers_alloc_per_op,Buffer allocs/op,0.4178973407544836,-0.43487107179736095
5,reference,buffers_backend_per_op,Backend buffers/op,0.42528138528138526,-0.4427128266686464
5,reference,buffers_checkpoint_per_op,Checkpoint buffers/op,0.3836734693877551,-0.40204454588507116
5,reference,buffers_clean_per_op,Cleaner buffers/op,0.2309134932237168,-0.2551384215413573
5,reference,cache_hit_ratio,Cache-hit ratio,-0.4324392439243924,0.45019307106298073
5,reference,checkpoint_sync_time_per_op,Checkpoint sync time/op,0.43116883116883115,-0.44626264314823466
5,reference,checkpoint_write_time_per_op,Checkpoint write time/op,0.4038961038961039,-0.4201152144449262
5,reference,tup_fetched_per_op,Tuples fetched/op,0.4137227831020987,-0.4308940602491788
5,reference,tup_returned_per_op,Tuples returned/op,0.41452730595561504,-0.43207610094529225
5,reference,wal_buffers_full_per_op,WAL buffers full/op,0.27736549165120594,-0.28768355922906846
5,reference,wal_bytes_per_op,WAL bytes/op,0.4147557204700062,-0.4319829806894033
5,reference,wal_fpi_per_op,WAL FPIs/op,0.41161410018552874,-0.4281981589376472
5,reference,wal_records_per_op,WAL records/op,0.41489177489177487,-0.4320942989762196
6,reference,blks_hit_per_op,Block hits/op,0.47377374478087764,-0.4701827271943893
6,reference,blks_read_per_op,Block reads/op,0.8118608840174163,-0.8201683536300923
6,reference,buffers_alloc_per_op,Buffer allocs/op,0.8391341991341992,-0.8464050267193718
6,reference,buffers_backend_per_op,Backend buffers/op,0.8358936301793445,-0.844543531833702
6,reference,buffers_checkpoint_per_op,Checkpoint buffers/op,0.8099690785405071,-0.8185630002234079
6,reference,buffers_clean_per_op,Cleaner buffers/op,0.789122733455949,-0.801076656696295
6,reference,cache_hit_ratio,Cache-hit ratio,-0.834035403540354,0.8418822908772006
6,reference,checkpoint_sync_time_per_op,Checkpoint sync time/op,0.8177365491651206,-0.8272582221810545
6,reference,checkpoint_write_time_per_op,Checkpoint write time/op,0.8289548546691404,-0.8373016364479238
6,reference,tup_fetched_per_op,Tuples fetched/op,0.8121152060737198,-0.8186525838801924
6,reference,tup_returned_per_op,Tuples returned/op,0.8326409227150342,-0.8409488884077241
6,reference,tup_updated_per_op,Logical tuple updates/op,0.05567306167185677,-0.048456782652469776
6,reference,wal_buffers_full_per_op,WAL buffers full/op,0.22048924084595464,-0.23138267444833613
6,reference,wal_bytes_per_op,WAL bytes/op,0.8329499072356216,-0.8409256763250084
6,reference,wal_fpi_per_op,WAL FPIs/op,0.841830550401979,-0.8496580044930006
6,reference,wal_records_per_op,WAL records/op,0.8328509585652443,-0.8408638326410991
4,run,blks_hit_per_op,Block hits/op,0.9899072356215214,-0.9899072356215214
4,run,blks_read_per_op,Block reads/op,0.9848187454613394,-0.9848187454613394
4,run,buffers_alloc_per_op,Buffer allocs/op,0.9893382807668522,-0.9893382807668522
4,run,buffers_backend_per_op,Backend buffers/op,0.9802473716759431,-0.9802473716759431
4,run,buffers_checkpoint_per_op,Checkpoint buffers/op,0.9728633271490414,-0.9728633271490414
4,run,buffers_clean_per_op,Cleaner buffers/op,0.8901854168904838,-0.8901854168904838
4,run,cache_hit_ratio,Cache-hit ratio,-0.9814701470147015,0.9814701470147015
4,run,checkpoint_sync_time_per_op,Checkpoint sync time/op,0.9487908125920825,-0.9487908125920825
4,run,checkpoint_write_time_per_op,Checkpoint write time/op,0.9767717996289424,-0.9767717996289424
4,run,internal_inserts_per_logical_update,Internal inserts/logical update,0.9906988249845393,-0.9906988249845393
4,run,tup_fetched_per_op,Tuples fetched/op,0.990834879406308,-0.990834879406308
4,run,tup_inserted_per_op,Internal tuple inserts/op,0.9906988249845393,-0.9906988249845393
4,run,tup_returned_per_op,Tuples returned/op,0.990834879406308,-0.990834879406308
4,run,tup_updated_per_op,Logical tuple updates/op,0.9846998934970815,-0.9846998934970815
4,run,wal_buffers_full_per_op,WAL buffers full/op,0.669721706864564,-0.669721706864564
4,run,wal_bytes_per_op,WAL bytes/op,0.990760667903525,-0.990760667903525
4,run,wal_fpi_per_op,WAL FPIs/op,0.9877922077922078,-0.9877922077922078
4,run,wal_records_per_op,WAL records/op,0.990674087816945,-0.990674087816945
5,run,blks_hit_per_op,Block hits/op,0.9919109461966605,-0.9919109461966605
5,run,blks_read_per_op,Block reads/op,0.9853192868281417,-0.9853192868281417
5,run,buffers_alloc_per_op,Buffer allocs/op,0.9914409400123686,-0.9914409400123686
5,run,buffers_backend_per_op,Backend buffers/op,0.9807544836116264,-0.9807544836116264
5,run,buffers_checkpoint_per_op,Checkpoint buffers/op,0.9804205318491033,-0.9804205318491033
5,run,buffers_clean_per_op,Cleaner buffers/op,0.8657676263615621,-0.8657676263615621
5,run,cache_hit_ratio,Cache-hit ratio,-0.984086408640864,0.984086408640864
5,run,checkpoint_sync_time_per_op,Checkpoint sync time/op,0.94143475572047,-0.94143475572047
5,run,checkpoint_write_time_per_op,Checkpoint write time/op,0.9788991960420532,-0.9788991960420532
5,run,internal_inserts_per_logical_update,Internal inserts/logical update,0.9920470006184292,-0.9920470006184292
