cache_profile,run,phase,window,n,p95_us_mean,p99_us_mean,avg_us_mean,throughput_mean,blks_read_per_op_mean,blks_hit_per_op_mean,delta_cache_hit_ratio_mean,cum_cache_hit_ratio_mean,wal_bytes_per_op_mean,buffers_alloc_per_op_mean,checkpoint_write_time_per_op_mean,tup_inserted_per_op_mean,tup_updated_per_op_mean,tup_fetched_per_op_mean,tup_returned_per_op_mean,first_epoch_p95_gt_1000us,first_epoch_p95_gt_2000us
big_4GB,4,clean-run,early_1_10,10,104.1,240.1,75.158184,13069.314459688117,-0.00015333333333333334,2.9098277777777777,1.0001272673111055,0.999712302247301,24510.041112222225,0.4076466666666667,1.3336711111111113,0.09036666666666666,7.777777777777777e-06,0.9524699999999999,0.9534444444444444,,
big_4GB,4,clean-run,mid_45_55,11,397.3636363636364,838.5454545454545,277.8791227272728,3552.36900280702,0.0,0.32554363636363637,1.0,0.9999910210461196,220934.71699999998,21.520949090909088,7.701874545454545,0.049960000000000004,0.0,0.57684,0.57684,,
big_4GB,4,clean-run,late_91_100,10,677.3,1471.9,477.60963599999997,2074.073317009284,0.0,0.16831900000000002,1.0,0.9999925770385787,446500.83889199997,41.807124,16.707292000000002,0.052914,0.0,0.30486399999999997,0.30486399999999997,,
big_4GB,4,clean-run,all_1_100,100,396.72,852.53,277.1642756,4851.272833764241,-3.9797979797979795e-05,0.6745188888888888,1.0000216570869365,0.9999612328012669,230966.27451191918,21.144289090909094,8.508610606060605,0.05763737373737373,0.0,0.5678827272727274,0.5679705050505051,,
big_4GB,4,extend,early_1_10,10,4283.7,7079.8,1655.253075,616.8064447613308,0.0,90.17914222222223,1.0,0.999999751592887,24247.505482222223,0.3935466666666667,1.2790422222222224,8.361057777777779,1.0004155555555554,26.571256666666663,27.33889222222222,1.0,2.0
big_4GB,4,extend,mid_45_55,11,26084.81818181818,53049.181818181816,5455.879673636364,183.68599872871175,54.178039090909095,427.14940727272733,0.887914154397973,0.9329439722474333,220500.53380818182,21.470571818181817,7.630359090909092,71.81160636363636,1.0011400000000001,182.69963454545453,183.45404636363637,1.0,2.0
big_4GB,4,extend,late_91_100,10,53954.2,106450.2,10533.234568,95.06086626469767,119.44222099999999,727.1962080000001,0.8589384064038892,0.8905564250490476,446362.462742,41.734774,16.619784000000003,136.22244700000002,1.00209,340.55056,341.46531500000003,1.0,2.0
big_4GB,4,extend,all_1_100,100,27376.59,53983.96,5632.257703499999,248.6713079097385,54.084227474747465,427.7320065656565,0.9110297148080907,0.9409609397620899,230688.4179665657,21.105279292929293,8.434242424242424,73.00429171717171,1.0011711111111112,185.3044921212121,186.09613757575752,1.0,2.0
big_4GB,4,reference,early_1_10,10,52.6,84.2,39.09055200000001,22779.34741299593,0.0,3.0256366666666668,1.0,0.9999990939402192,24390.931566666666,0.39364333333333335,1.2790422222222224,0.0,0.0,1.0127233333333332,1.245073333333333,,
big_4GB,4,reference,mid_45_55,11,52.45454545454545,92.0,39.086853636363635,22680.7873755788,0.017298181818181817,3.0167445454545456,0.9942986419675411,0.9963133914483163,220823.57945818183,21.506546363636364,7.660997272727272,0.0,0.0,1.0143354545454546,1.3475581818181817,,
big_4GB,4,reference,late_91_100,10,51.6,246.1,41.704561999999996,21497.287142811445,0.018111000000000002,3.029158,0.9940566565328937,0.9952883622575653,446389.73751000006,41.79363500000001,16.774302999999996,0.0,0.0,1.0168720000000002,1.50881,,
big_4GB,4,reference,all_1_100,100,52.25,133.23,39.876737399999996,22361.725214575512,0.014639393939393938,3.0205240404040405,0.9951797491873998,0.9969939887278343,230854.33157616158,21.130327373737376,8.489811717171717,0.0,0.0,1.0145558585858587,1.3609628282828283,,
big_4GB,4,run,early_1_10,10,118.2,251.5,83.06912400000002,12017.644943337602,0.0,94.8215388888889,1.0,0.9999998113757241,24390.931566666666,0.39364333333333335,1.2790422222222224,8.361716666666666,1.0004277777777775,27.64252,28.41113,71.0,95.0
big_4GB,4,run,mid_45_55,11,471.3636363636364,1240.4545454545455,309.11409909090906,3197.801657533976,55.81871909090908,427.59183636363633,0.8848187142156095,0.9310483959413066,220823.57945818183,21.506565454545452,7.660997272727272,71.81160454545454,1.00113,183.18095818181817,183.9345181818182,71.0,95.0
big_4GB,4,run,late_91_100,10,1752.4,5884.4,709.9614570000001,1427.808648984586,120.429442,727.767962,0.8580819861349722,0.8892644866496422,446389.73751000006,41.793631999999995,16.774302999999996,136.22244700000002,1.0020900000000001,341.05749,341.97399699999994,71.0,95.0
big_4GB,4,run,all_1_100,100,652.75,2011.16,344.73528220000003,4246.802217518617,54.934624646464655,428.91974898989906,0.9095445362128577,0.9397480513016656,230854.33157616158,21.130161414141416,8.489811717171717,73.00428111111111,1.0011733333333332,185.92708333333334,186.71995555555557,71.0,95.0
big_4GB,5,avg-run,early_1_10,10,84.5,121.2,66.756185,14779.76363705524,-0.00021888888888888888,7.008642222222222,1.000055868636092,0.9998890722560825,24657.145344444445,0.4223388888888889,1.3190833333333332,0.1793977777777778,0.0,2.180766666666667,2.180766666666667,,
big_4GB,5,avg-run,mid_45_55,11,310.45454545454544,422.3636363636364,266.27704454545454,3706.2782537777616,0.0,0.5165136363636363,1.0,0.9999960059366585,220515.68881272723,21.23063636363636,7.72952,0.05002636363636363,0.0,0.6117527272727273,0.6117527272727273,,
big_4GB,5,avg-run,late_91_100,10,566.6,707.0,466.87896900000004,2123.063280951047,0.0,0.605485,0.9999904163605866,0.9999966595342187,444987.04489099997,41.667640000000006,16.112495000000003,0.153021,0.0,1.732116,1.732116,,
big_4GB,5,avg-run,all_1_100,100,315.55,417.14,265.1755513,5309.017787952166,-4.606060606060606e-05,1.5683461616161616,0.9998817124090826,0.9999838927765117,230579.34192191917,21.141664545454546,8.304920606060605,0.11723919191919192,1.1111111111111115e-06,1.397399393939394,1.3975757575757577,,
big_4GB,5,clean-run,early_1_10,10,91.1,202.9,66.95789,14833.904876105045,-0.00021888888888888888,2.882992222222222,1.0002028944158288,0.9997046862609122,24544.002486666668,0.40911,1.3190833333333332,0.09050888888888889,0.0,0.9320155555555556,0.9320155555555556,,
big_4GB,5,clean-run,mid_45_55,11,366.54545454545456,779.5454545454545,255.02627272727275,3876.7457264948844,0.0,0.3101209090909091,1.0,0.999991044677514,220416.14286272723,21.22306,7.723992727272729,0.05002636363636364,0.0,0.5116445454545454,0.5116445454545454,,
big_4GB,5,clean-run,late_91_100,10,627.9,1364.6,439.924488,2251.3467064294264,0.0,0.199782,1.0,0.9999925499480093,444869.8672689999,41.642363,16.101121999999997,0.053021000000000006,0.0,0.4260400000000001,0.4260400000000001,,
big_4GB,5,clean-run,all_1_100,100,365.6,786.68,255.52440860000002,5338.925854277604,-4.606060606060606e-05,0.6726743434343436,1.0002652661659148,0.9999590750722462,230470.080269697,21.126602323232326,8.296134949494949,0.05764171717171717,0.0,0.5669593939393939,0.5669585858585858,,
big_4GB,5,extend,early_1_10,10,4013.3,6542.6,1636.350076,623.0005971314725,0.0,89.88125222222223,1.0,0.9999997515486209,24287.42995888889,0.39503222222222223,1.2680066666666667,8.326014444444446,1.0004033333333333,26.46552777777778,27.229778888888887,1.0,2.0
big_4GB,5,extend,mid_45_55,11,23660.090909090908,48417.90909090909,5023.289574545454,199.22185186052138,49.50696,433.1957018181818,0.8976054722274025,0.9346899924380089,220191.65913272725,21.18418636363636,7.617279090909091,71.5592590909091,1.0010400000000004,182.32334272727272,183.07273545454544,1.0,2.0
big_4GB,5,extend,late_91_100,10,50139.8,98917.4,10103.179318,99.1225665704796,114.888762,725.3835839999999,0.8634512056303201,0.8939729299198984,444591.20893799997,41.579832999999994,15.963012,135.65433000000002,1.002046,338.551644,339.447906,1.0,2.0
big_4GB,5,extend,all_1_100,100,25300.91,49671.2,5377.581558100001,256.64369356303183,52.266975252525256,428.6772581818182,0.9139871683490723,0.9430523202170304,230182.74610939395,21.08640585858586,8.219006363636364,72.88485585858587,1.0011400000000001,185.01311030303034,185.79703262626262,1.0,2.0
big_4GB,5,reference,early_1_10,10,46.3,75.1,34.066736,26491.788645320165,0.0,3.025535555555556,1.0,0.9999990958419612,24425.377404444444,0.39512888888888886,1.2680066666666667,0.0,0.0,1.0127077777777778,1.244084444444444,,
big_4GB,5,reference,mid_45_55,11,47.63636363636363,84.0909090909091,34.35806363636363,26112.660698888114,0.01731454545454545,3.0167072727272726,0.9942932168052792,0.996302800347966,220305.19523090913,21.208677272727275,7.707238181818183,0.0,0.0,1.0143845454545455,1.3452181818181819,,
big_4GB,5,reference,late_91_100,10,47.9,239.6,38.646875,23628.623295043602,0.018234,3.0281390000000004,0.9940145292176558,0.9952779669261475,444758.170395,41.62889,16.020852,0.0,0.0,1.0167040000000003,1.4981299999999997,,
big_4GB,5,reference,all_1_100,100,47.16,109.47,35.3625057,25543.52442101255,0.014674444444444443,3.020166363636363,0.9951676149696453,0.9969832789781177,230358.17415616164,21.11264292929293,8.279830606060607,0.0,0.0,1.0145142424242426,1.3564969696969695,,
big_4GB,5,run,early_1_10,10,103.0,222.1,75.072027,13422.614880578089,0.0,94.56862111111111,1.0,0.999999811083678,24425.377565555555,0.39512888888888886,1.2680066666666667,8.326672222222221,1.0004155555555554,27.55750111111111,28.322726666666668,70.0,97.0
