scenario,phase,driver,driver_label,latency_spearman_rho,throughput_spearman_rho
vacuum_notfull_zipfian_heavy_pure,extend,cache_hit_ratio,Cache-hit ratio,-0.9961316131613162,0.9961316131613162
vacuum_notfull_zipfian_heavy_pure,extend,checkpoint_sync_time_per_op,Checkpoint sync time/op,0.9841434755720471,-0.9841434755720471
vacuum_notfull_zipfian_heavy_pure,extend,checkpoint_write_time_per_op,Checkpoint write time/op,0.9902824159967017,-0.9902824159967017
vacuum_notfull_zipfian_heavy_pure,extend,internal_inserts_per_logical_update,Internal inserts/logical update,0.9993609565038136,-0.9993609565038136
vacuum_notfull_zipfian_heavy_pure,extend,tup_fetched_per_op,Tuples fetched/op,0.9993362193362193,-0.9993362193362193
vacuum_notfull_zipfian_heavy_pure,extend,tup_inserted_per_op,Internal tuple inserts/op,0.9993609565038136,-0.9993609565038136
vacuum_notfull_zipfian_heavy_pure,extend,tup_returned_per_op,Tuples returned/op,0.9993362193362193,-0.9993362193362193
vacuum_notfull_zipfian_heavy_pure,extend,tup_updated_per_op,Logical tuple updates/op,0.9941334339564443,-0.9941334339564443
vacuum_notfull_zipfian_heavy_pure,extend,wal_buffers_full_per_op,WAL buffers full/op,0.9033158073149247,-0.9033158073149247
vacuum_notfull_zipfian_heavy_pure,extend,wal_bytes_per_op,WAL bytes/op,0.9993362193362193,-0.9993362193362193
vacuum_notfull_zipfian_heavy_pure,extend,wal_fpi_per_op,WAL FPIs/op,0.994904143475572,-0.994904143475572
vacuum_notfull_zipfian_heavy_pure,extend,wal_records_per_op,WAL records/op,0.9991877963306535,-0.9991877963306535
vacuum_notfull_zipfian_heavy_pure,reference,blks_hit_per_op,Block hits/op,0.5997980764171285,-0.6103836399561154
vacuum_notfull_zipfian_heavy_pure,reference,blks_read_per_op,Block reads/op,0.6932132592660597,-0.7104011521210197
vacuum_notfull_zipfian_heavy_pure,reference,buffers_alloc_per_op,Buffer allocs/op,0.6896145124716554,-0.7065141669968691
vacuum_notfull_zipfian_heavy_pure,reference,buffers_backend_per_op,Backend buffers/op,0.6886373943516801,-0.7052731222848974
vacuum_notfull_zipfian_heavy_pure,reference,buffers_checkpoint_per_op,Checkpoint buffers/op,0.6811708925994641,-0.6983136886320428
vacuum_notfull_zipfian_heavy_pure,reference,buffers_clean_per_op,Cleaner buffers/op,0.6597238186943285,-0.6760959570970323
vacuum_notfull_zipfian_heavy_pure,reference,cache_hit_ratio,Cache-hit ratio,-0.6951975197519752,0.7112480088979338
vacuum_notfull_zipfian_heavy_pure,reference,checkpoint_sync_time_per_op,Checkpoint sync time/op,0.6744959802102658,-0.6910530667593529
vacuum_notfull_zipfian_heavy_pure,reference,checkpoint_write_time_per_op,Checkpoint write time/op,0.679620696763554,-0.6941061975981292
vacuum_notfull_zipfian_heavy_pure,reference,tup_fetched_per_op,Tuples fetched/op,0.6810448586286958,-0.6967041972467491
vacuum_notfull_zipfian_heavy_pure,reference,tup_returned_per_op,Tuples returned/op,0.6894100561249886,-0.7054777946449047
vacuum_notfull_zipfian_heavy_pure,reference,tup_updated_per_op,Logical tuple updates/op,-0.12548531360958193,0.12195204084311556
vacuum_notfull_zipfian_heavy_pure,reference,wal_buffers_full_per_op,WAL buffers full/op,0.5748718933974762,-0.5931478338846565
vacuum_notfull_zipfian_heavy_pure,reference,wal_bytes_per_op,WAL bytes/op,0.6903566274994847,-0.7072521718230882
vacuum_notfull_zipfian_heavy_pure,reference,wal_fpi_per_op,WAL FPIs/op,0.6911482168625026,-0.7079118138166073
vacuum_notfull_zipfian_heavy_pure,reference,wal_records_per_op,WAL records/op,0.6900762729334158,-0.7067491790387744
vacuum_notfull_zipfian_heavy_pure,run,blks_hit_per_op,Block hits/op,0.9780746237889094,-0.9781735724592867
vacuum_notfull_zipfian_heavy_pure,run,blks_read_per_op,Block reads/op,0.9771732350400972,-0.9772804294330059
vacuum_notfull_zipfian_heavy_pure,run,buffers_alloc_per_op,Buffer allocs/op,0.97856524427953,-0.9786806843949701
vacuum_notfull_zipfian_heavy_pure,run,buffers_backend_per_op,Backend buffers/op,0.9753081838796125,-0.9754071325499897
vacuum_notfull_zipfian_heavy_pure,run,buffers_checkpoint_per_op,Checkpoint buffers/op,0.9684065141207997,-0.9685301999587713
vacuum_notfull_zipfian_heavy_pure,run,buffers_clean_per_op,Cleaner buffers/op,0.9443022633761227,-0.9444341949366256
vacuum_notfull_zipfian_heavy_pure,run,cache_hit_ratio,Cache-hit ratio,-0.9761376137613761,0.9762456245624563
vacuum_notfull_zipfian_heavy_pure,run,checkpoint_sync_time_per_op,Checkpoint sync time/op,0.9638095238095238,-0.9638713667285096
vacuum_notfull_zipfian_heavy_pure,run,checkpoint_write_time_per_op,Checkpoint write time/op,0.9645104102246959,-0.9648443619872191
vacuum_notfull_zipfian_heavy_pure,run,internal_inserts_per_logical_update,Internal inserts/logical update,0.9787095444238302,-0.9788249845392704
vacuum_notfull_zipfian_heavy_pure,run,tup_fetched_per_op,Tuples fetched/op,0.9787590187590188,-0.978874458874459
vacuum_notfull_zipfian_heavy_pure,run,tup_inserted_per_op,Internal tuple inserts/op,0.9787095444238302,-0.9788249845392704
vacuum_notfull_zipfian_heavy_pure,run,tup_returned_per_op,Tuples returned/op,0.9787590187590188,-0.978874458874459
vacuum_notfull_zipfian_heavy_pure,run,tup_updated_per_op,Logical tuple updates/op,0.974858168697328,-0.9749944331750401
vacuum_notfull_zipfian_heavy_pure,run,wal_buffers_full_per_op,WAL buffers full/op,0.8738661800997235,-0.8739568837614881
vacuum_notfull_zipfian_heavy_pure,run,wal_bytes_per_op,WAL bytes/op,0.9787590187590188,-0.9788703360131931
vacuum_notfull_zipfian_heavy_pure,run,wal_fpi_per_op,WAL FPIs/op,0.976705833848691,-0.976837765409194
vacuum_notfull_zipfian_heavy_pure,run,wal_records_per_op,WAL records/op,0.9786848072562359,-0.978800247371676
