Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
17,clean-run,10000,true,uniform,READ,125004,3500340,1354740,1343777,134334,1,0,0,4,385024,169,803,2370094,11321060,84972364,452474231,22381567,1398200,313874207077,321613625,38066014,3907002,1,0,0,0,0,9410,10626.992561105208,99962,89.05006902622996,49,16119,127,229,99962,38
17,avg-run,10000,true,uniform,READ,251341,6912588,2386299,2345276,234334,5,0,0,4,385024,169,803,2370094,11325976,85016792,452627363,22381567,1398200,314069950664,321823981,38066016,3907002,1,0,0,0,0,7911,12640.626975097965,100000,74.26124,48,13879,100,159,100000
18,extend,10000,true,uniform,EXTEND,10911803,134499716,37149762,36008691,1513710,1800269,1369380,0,0,0,169,804,2370642,11398816,85276830,453305215,22381567,1398200,314571831670,322826481,38109883,3907002,0,0,0,0,1,151111,661.7651924744063,99971,1503.2738494163307,410,26159,2067,2405,99971,29
18,run,10000,true,uniform,READ,11542434,137840973,38610048,37457811,1513710,1800269,1369380,0,0,0,169,804,2370642,11399961,85284836,453932623,22381567,1398200,314571979683,322828891,38109883,3907002,1,0,0,0,0,10351,9660.902328277461,99964,98.90176463526869,53,15839,122,194,99964,36
18,reference,10000,true,uniform,READ,28847,5456705,2222417,1823463,10181,12,62,0,0,0,169,804,2370642,11399962,85284836,453937105,22381567,1398200,314571979683,322828891,38109883,3907002,1,0,0,0,0,4088,24461.83953033268,100000,36.17266,22,12767,51,104,100000
18,clean-run,10000,true,uniform,READ,146519,3520172,1449038,1438075,143768,1,0,0,4,385024,169,805,2371716,11402853,85332175,454180556,22540238,1398211,314786715364,323102256,38110869,3928969,1,0,0,0,0,9622,10392.849719393058,99971,91.47219693711176,50,14991,128,218,99971,29
18,avg-run,10000,true,uniform,READ,253265,7300516,2580483,2539464,253768,5,0,0,4,385024,169,805,2371716,11408077,85383228,454313169,22540238,1398211,315006061855,323343901,38113865,3928969,1,0,0,0,0,8634,11582.117211026176,100000,82.03508,60,15831,114,222,100000
19,extend,10000,true,uniform,EXTEND,12473816,143407405,40532295,39335878,1663152,1900274,1509421,0,0,0,169,806,2372325,11476453,85665255,455043604,22540238,1398211,315600402599,324386888,38170489,3928969,0,0,0,0,1,141525,706.5889418830595,99972,1407.9291401592445,410,68287,1957,2315,99972,28
19,run,10000,true,uniform,READ,13144643,146728807,42088312,40880616,1663152,1900274,1509421,0,0,0,169,806,2372391,11477605,85673619,455711543,22674949,1398965,315600560878,324389458,38170489,3928969,1,0,0,0,0,10497,9526.53138992093,99962,100.27920609831736,51,14847,130,196,99962,38
19,reference,10000,true,uniform,READ,30645,5757480,2346357,1924735,10181,12,62,0,0,0,169,806,2372391,11477609,85673619,455716210,22674949,1398965,315600560878,324389458,38170489,3928969,1,0,0,0,0,3824,26150.62761506276,100000,33.82612,21,13183,48,80,100000
