Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,page_cache_hits,page_cache_faults,transaction_commits,transaction_rollbacks,nodes_created,nodes_deleted,relationships_created,relationships_deleted,properties_set,index_hits,index_misses,lock_acquisition_time,lock_wait_time,checkpoint_total_time,checkpoint_total_events,log_rotation_events,log_appended_bytes,log_rotation_total_time,transaction_started,transaction_peak_concurrent,transaction_active,transaction_terminated,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
45,extend,22500,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1955,255.7544757033248,500,2977.754,1492,21583,4631,5147,500
45,spread-run,23000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,15914,3141.8876460977754,50000,304.12664,153,22927,570,900,50000
46,extend,23000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1937,258.1311306143521,500,2956.374,1447,19967,4595,4991,500
46,spread-run,23500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16286,3070.121576814442,50000,311.48376,163,21855,564,872,50000
47,extend,23500,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1952,256.1475409836066,500,2998.596,1526,21695,4687,5359,500
47,spread-run,24000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16222,3082.2340032055235,50000,310.4937,154,22319,546,878,50000
48,extend,24000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1959,255.23226135783563,500,2972.198,1522,20335,4631,5427,500
48,spread-run,24500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16716,2991.146207226609,50000,319.9279,154,40895,603,892,50000
49,extend,24500,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1955,255.7544757033248,500,2999.28,1471,21439,4635,5179,500
49,spread-run,25000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16328,3062.2243998040176,50000,312.19264,160,22159,538,893,50000
50,extend,25000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1946,256.9373072970195,500,2983.484,1515,22015,4619,5319,500
50,spread-run,25500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16427,3043.7694040299507,50000,314.4073,156,21919,562,889,50000
51,extend,25500,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1932,258.7991718426501,500,2951.97,1505,25247,4671,5303,500
51,spread-run,26000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16539,3023.157385573493,50000,316.36852,149,21983,582,909,50000
52,extend,26000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1989,251.38260432378078,500,3040.79,1472,22623,4699,5671,500
52,spread-run,26500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16026,3119.930113565456,50000,306.27196,145,21375,501,864,50000
