Epoch,Phase,Operation,metric,source
86,clean-run,READ,40179740543.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
87,clean-run,READ,39952062197.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
88,clean-run,READ,40918546755.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
89,clean-run,READ,41402146429.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
90,clean-run,READ,42294607293.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
91,clean-run,READ,42487083214.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
92,clean-run,READ,42693453505.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
93,clean-run,READ,43390007143.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
94,clean-run,READ,44683170275.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
95,clean-run,READ,43734086412.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
96,clean-run,READ,44720518274.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
97,clean-run,READ,45635945716.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
98,clean-run,READ,46076721904.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
99,clean-run,READ,46592830570.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
100,clean-run,READ,46487021879.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
2,extend,EXTEND,697146436.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
3,extend,EXTEND,1039420298.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
4,extend,EXTEND,1517108751.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
5,extend,EXTEND,1932468175.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
6,extend,EXTEND,2411464324.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
7,extend,EXTEND,2927642215.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
8,extend,EXTEND,3300973486.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
9,extend,EXTEND,3771382175.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
10,extend,EXTEND,4225149074.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
11,extend,EXTEND,4836335012.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
12,extend,EXTEND,5216792849.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
13,extend,EXTEND,5553228028.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
14,extend,EXTEND,6045603457.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
15,extend,EXTEND,6466527490.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
16,extend,EXTEND,6975239612.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
17,extend,EXTEND,7332599084.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
18,extend,EXTEND,7629001195.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
19,extend,EXTEND,8178563211.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
20,extend,EXTEND,8601595544.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
21,extend,EXTEND,9009823092.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
22,extend,EXTEND,9483877807.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
23,extend,EXTEND,10116505554.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
