run_id,Epoch,value_size_p50,value_size_p90,value_size_p95,value_size_p99,value_size_max,frac_gt_2kb,frac_gt_8kb,frac_gt_32kb,est_toast_chunks_p95,est_toast_chunks_p99,est_toast_chunks_max
5,27,19100.0,31000.0,41504.99999999993,93503.00000000006,10363700,1.0,1.0,0.091,21.0,47.0,5193.0
5,28,19800.0,32100.0,42900.0,97003.00000000006,10749100,1.0,1.0,0.101,22.0,49.0,5386.0
5,29,20400.0,33300.0,44504.99999999993,99405.00000000012,11130500,1.0,1.0,0.1129,23.0,50.0,5577.0
5,30,21100.0,34400.0,46004.99999999993,102706.00000000013,11522900,1.0,1.0,0.1255,24.0,52.0,5773.0
5,31,21800.0,35500.0,47300.0,106201.00000000003,11915300,1.0,1.0,0.14,24.0,54.0,5970.0
5,32,22500.0,36600.0,48700.0,109308.00000000017,12290800,1.0,1.0,0.156,25.0,55.0,6158.0
5,33,23100.0,37700.0,50214.99999999978,112215.00000000032,12679300,1.0,1.0,0.1745,26.0,57.0,6353.0
5,34,23800.0,38800.0,52100.0,116409.0000000002,13062600,1.0,1.0,0.1939,27.0,59.0,6545.0
5,35,24400.0,39900.0,53500.0,120305.00000000012,13446800,1.0,1.0,0.2151,27.0,61.0,6737.0
5,36,25100.0,41100.0,54904.99999999993,124110.00000000022,13836200,1.0,1.0,0.239,28.0,63.0,6932.0
5,37,25750.0,42200.0,56700.0,127700.0,14216300,1.0,1.0,0.2639,29.0,64.0,7123.0
5,38,26400.0,43200.0,57904.99999999993,130903.00000000006,14595400,1.0,1.0,0.2905,30.0,66.0,7313.0
5,39,27100.0,44410.00000000004,59300.0,134200.0,14981100,1.0,1.0,0.3164,30.0,68.0,7506.0
5,40,27700.0,45600.0,60704.99999999993,137802.00000000006,15357100,1.0,1.0,0.3417,31.0,70.0,7694.0
5,41,28400.0,46600.0,62300.0,140502.00000000006,15739600,1.0,1.0,0.3683,32.0,71.0,7886.0
5,42,29000.0,47700.0,64000.0,143904.0000000001,16121300,1.0,1.0,0.3935,33.0,73.0,8077.0
5,43,29700.0,48800.0,65304.99999999993,147204.0000000001,16492900,1.0,1.0,0.4183,33.0,74.0,8263.0
5,44,30400.0,49800.0,66709.99999999985,150401.00000000003,16891200,1.0,1.0,0.441,34.0,76.0,8463.0
5,45,31100.0,50910.00000000004,68304.99999999993,153903.00000000006,17274400,1.0,1.0,0.4622,35.0,78.0,8655.0
5,46,31700.0,52000.0,69804.99999999993,156901.00000000003,17658300,1.0,1.0,0.4884,35.0,79.0,8847.0
5,47,32400.0,53110.00000000004,71304.99999999993,160005.00000000012,18032000,1.0,1.0,0.5131,36.0,81.0,9035.0
5,48,33000.0,54210.00000000004,73004.99999999993,163108.00000000017,18424000,1.0,1.0,0.5383,37.0,82.0,9231.0
5,49,33700.0,55400.0,74504.99999999993,166601.00000000003,18810100,1.0,1.0,0.5666,38.0,84.0,9424.0
5,50,34400.0,56400.0,76100.0,170005.00000000012,19184900,1.0,1.0,0.6035,39.0,86.0,9612.0
5,51,35000.0,57500.0,77804.99999999993,173506.00000000012,19563300,1.0,1.0,0.642,39.0,87.0,9802.0
5,52,35700.0,58600.0,79104.99999999993,176213.0000000003,19943900,1.0,1.0,0.6898,40.0,89.0,9992.0
5,53,36400.0,59710.00000000004,80524.99999999964,179028.0000000006,20328000,1.0,1.0,0.7399,41.0,90.0,10185.0
5,54,37000.0,60900.0,82100.0,183022.00000000047,20700600,1.0,1.0,0.7911,42.0,92.0,10372.0
5,55,37700.0,61910.00000000004,83609.99999999985,186227.00000000058,21077600,1.0,1.0,0.8394,42.0,94.0,10560.0
5,56,38400.0,62900.0,85114.99999999978,189113.0000000003,21468200,1.0,1.0,0.8822,43.0,95.0,10756.0
5,57,39000.0,64200.0,86600.0,192520.00000000044,21852900,1.0,1.0,0.921,44.0,97.0,10949.0
5,58,39700.0,65110.00000000004,88104.99999999993,196220.00000000044,22236900,1.0,1.0,0.9477,45.0,99.0,11141.0
5,59,40300.0,66300.0,89700.0,199528.0000000006,22614200,1.0,1.0,0.9691,45.0,100.0,11330.0
5,60,41000.0,67410.00000000003,90904.99999999993,202831.00000000067,23001300,1.0,1.0,0.9802,46.0,102.0,11524.0
5,61,41600.0,68700.0,92600.0,205933.00000000073,23378300,1.0,1.0,0.9895,47.0,104.0,11713.0
5,62,42300.0,69700.0,93514.99999999978,209325.00000000055,23761100,1.0,1.0,0.9948,47.0,105.0,11905.0
5,63,42900.0,70900.0,95219.99999999971,212523.0000000005,24146600,1.0,1.0,0.9972,48.0,107.0,12098.0
5,64,43600.0,72000.0,97200.0,216525.00000000055,24529700,1.0,1.0,0.9983,49.0,109.0,12290.0
5,65,44300.0,73100.0,98609.99999999985,219235.00000000076,24899600,1.0,1.0,0.9996,50.0,110.0,12475.0
5,66,44900.0,74200.0,100404.99999999993,223730.00000000064,25284100,1.0,1.0,0.9997,51.0,113.0,12668.0
5,67,45600.0,75200.0,101500.0,227022.00000000047,25669000,1.0,1.0,0.9998,51.0,114.0,12861.0
