run_id,Epoch,AverageLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Throughput(ops/sec),blks_read_per_op_delta,blks_hit_per_op_delta,tup_returned_per_op_delta,tup_fetched_per_op_delta,tup_inserted_per_op_delta,tup_updated_per_op_delta,tup_deleted_per_op_delta,temp_bytes_per_op_delta,buffers_alloc_per_op_delta,wal_bytes_per_op_delta,wal_records_per_op_delta,wal_fpi_per_op_delta,reference_p95_us,avg-run_p95_us,clean-run_p95_us,main_minus_clean_p95_us,main_minus_avg_p95_us,main_minus_reference_p95_us,value_size_p50,value_size_p90,value_size_p95,value_size_p99,value_size_max,frac_gt_2kb,frac_gt_8kb,frac_gt_32kb,est_toast_chunks_p95,est_toast_chunks_p99,est_toast_chunks_max
3,77,604.35581,912,2723,1637.2775349149435,53.07826,107.2777,52.62098,52.3209,6e-05,0.00033,6e-05,294.29208,1.6989,14142.6938,77.68846,51.01527,52,596,781,131,316,860,,,,,,,,,,,
3,78,555.88595,952,3361,1778.1887369525402,58.10861,108.62784,51.49125,51.19117,6e-05,0.00033,6e-05,330.7689,1.79073,14463.01265,78.7345,51.6405,54,602,770,182,350,898,,,,,,,,,,,
3,79,617.03327,1084,3407,1604.6470578796193,60.01776,109.31681,52.83204,52.53533,6e-05,0.00033,6e-05,335.07681,1.87351,14494.29931,79.6798,52.12729,53,665,783,301,419,1031,,,,,,,,,,,
3,80,661.19297,1071,4025,1497.2973782322906,56.14136,109.09502,54.63399,54.33808,6e-05,0.00033,6e-05,339.25929,1.87498,14563.92814,80.82239,53.0729,52,668,816,255,403,1019,,,,,,,,,,,
3,81,610.99859,1103,3481,1619.6954972465176,58.96869,109.3305,53.55192,53.25184,6e-05,0.00033,6e-05,343.43289,1.89963,14719.25696,83.18908,53.77078,51,657,815,288,446,1052,,,,,,,,,,,
3,82,686.35896,1448,4583,1443.1263890091495,62.74235,109.36827,53.88633,53.58166,6e-05,0.00033,6e-05,347.67087,2.05867,15085.75246,84.75941,55.58976,52,657,809,639,791,1396,,,,,,,,,,,
3,83,734.97102,1744,5583,1348.2358334119804,76.5178,133.74613,53.92877,53.61534,6e-05,0.00033,6e-05,351.95103,2.32681,15791.00933,89.7429,58.31327,53,654,844,900,1090,1691,,,,,,,,,,,
3,84,771.27858,1652,5875,1285.942081168664,78.10254,135.99294,56.47666,56.16324,4e-05,0.00022,4e-05,356.27892,2.30463,15914.10522,91.39284,58.85354,52,679,833,819,973,1600,,,,,,,,,,,
3,85,743.37217,1973,5547,1332.462790976562,67.26191,112.93598,56.38692,56.07808,6e-05,0.00033,6e-05,360.47139,2.36873,15423.1124,88.13472,57.70856,51,667,795,1178,1306,1922,,,,,,,,,,,
3,86,720.29477,1265,4715,1376.083665886886,69.84875,115.03879,55.99973,55.6863,6e-05,0.00033,6e-05,364.89363,2.15237,15724.47154,91.16879,58.51004,52,672,835,430,593,1213,,,,,,,,,,,
3,87,647.31481,1235,4231,1529.0753681248948,70.42046,112.36978,55.75716,55.44293,6e-05,0.00033,6e-05,369.10941,2.13839,15337.02509,89.98616,56.24019,50,688,831,404,547,1185,,,,,,,,,,,
3,88,681.24909,1051,3891,1453.5728821443108,71.1655,116.80517,58.52403,58.20643,6e-05,0.00033,6e-05,373.37292,2.03716,15898.35604,92.2026,59.08271,51,693,865,186,358,1000,,,,,,,,,,,
3,89,665.29508,1069,4059,1487.8959663140354,74.91447,121.23105,57.5306,57.21717,6e-05,0.00033,6e-05,377.49879,2.03832,16020.33322,93.03026,59.3638,52,693,863,206,376,1017,,,,,,,,,,,
3,90,591.87296,911,1832,1672.3806338322602,79.41483,126.94571,58.20391,57.88631,6e-05,0.00033,6e-05,381.67905,1.88598,16138.30632,94.72606,59.77429,54,699,844,67,212,857,,,,,,,,,,,
3,91,617.0784,916,1911,1602.8980396556974,83.47028,132.6426,59.35753,59.03534,6e-05,0.00033,6e-05,385.8471,1.88939,16382.60073,95.9995,61.57525,49,706,858,58,210,867,,,,,,,,,,,
3,92,641.13023,977,2443,1544.2346001204503,75.41948,119.29272,58.01439,57.70097,4e-05,0.00022,4e-05,390.06732,1.95414,16151.19367,95.86758,60.29442,54,709,872,105,268,923,,,,,,,,,,,
3,93,674.37862,1117,4055,1468.27785690164,78.31784,120.8831,60.23562,59.90926,6e-05,0.00033,6e-05,394.34415,2.13099,16323.80093,97.8894,60.95354,53,708,879,238,409,1064,,,,,,,,,,,
3,94,765.62693,1302,4507,1294.397846121984,77.9011,121.94599,61.8049,61.47854,6e-05,0.00033,6e-05,398.57991,2.21783,16350.78047,97.98657,60.9973,50,715,870,432,587,1252,,,,,,,,,,,
3,95,796.5614,1408,5967,1245.190451879615,78.47255,122.07708,62.4381,62.11591,6e-05,0.00033,6e-05,402.72798,2.27362,16627.38249,98.61477,64.78028,56,715,891,517,693,1352,,,,,,,,,,,
3,96,785.35475,1576,5363,1262.0048208584158,79.17305,122.57322,62.26857,61.94638,6e-05,0.00033,6e-05,406.81944,2.42565,16460.12466,98.9543,61.31137,51,730,895,681,846,1525,,,,,,,,,,,
