Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,CPU,Memory,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK,WatcherSamples,WatcherCPU_min,WatcherCPU_q1,WatcherCPU_median,WatcherCPU_q3,WatcherCPU_max,WatcherMemoryKB_min,WatcherMemoryKB_q1,WatcherMemoryKB_median,WatcherMemoryKB_q3,WatcherMemoryKB_max
7,clean-run,10000,True,uniform,READ,0.3,8.8,405,2748153,875608,864559,81890,18,0,0,4,385024,681,42632,388013781,560854007,6446971969,11815890019,1119953434,168794147,22866866075368,26830133543,3546652589,79389837,1,0,0,0,0,9071,11024.142872891633,100000,85.59944,42,37695,122,303,100000,8,45.4,64.9,69.2,70.35,71.3,132448.0,133348.0,136100.0,169129.0,280120.0
7,avg-run,10000,True,uniform,READ,0.3,8.8,407,6774433,2122697,2071595,171890,22,0,0,4,385024,681,42632,388013781,560854007,6446971969,11815901709,1119953434,168794147,22866961228799,26830323870,3546652591,79389837,1,0,0,0,0,8948,11175.681716584711,100000,84.59545,60,14399,111,154,100000,8,33.3,62.72500000000001,68.9,72.525,73.4,131304.0,133688.0,133736.0,133736.0,133736.0
8,extend,10000,True,zipfian,EXTEND,12.0,15.7,2,56444040,16717759,16146889,4965550,800309,4876282,0,0,0,681,42637,388461028,560854007,6447005668,11815913809,1120104677,168794289,22870003609364,26834754313,3546982376,79389837,0,0,0,0,1,189780,526.9259142164611,100000,1888.85412,301,16639,5803,9623,100000,180,18.8,29.4,29.6,34.0,48.1,121184.0,868693.0,1213210.0,1988119.0,2436392.0
8,run,10000,True,uniform,READ,0.3,9.4,2,60583434,17810223,17218030,4966194,800331,4876916,0,0,0,681,42637,388461028,560854007,6447005668,11815913815,1120104677,168794289,22870053384954,26835099501,3547040056,79390476,1,0,0,0,0,10618,9417.969485778864,100000,101.04404,51,38175,144,328,100000,10,31.9,65.30000000000001,72.7,75.85,76.9,732380.0,1028507.0,1037514.0,1040631.0,1042816.0
8,reference,10000,True,uniform,READ,0.3,9.4,1,2460819,995796,811007,10119,1,0,0,0,0,681,42637,388461028,560854007,6447005668,11815913815,1120104677,168794289,22870053384954,26835099501,3547040056,79390476,1,0,0,0,0,4462,22411.474675033616,100000,39.61267,26,13647,52,80,100000,4,29.7,43.8,50.2,52.675,55.0,42816.0,42816.0,42816.0,42816.0,42816.0
8,clean-run,10000,True,uniform,READ,0.4,9.4,406,2899855,938067,927098,87651,1,0,0,4,385024,681,42638,388580925,560854007,6447005680,11815927791,1120111162,168794311,22870165703097,26835272343,3547041045,79394328,1,0,0,0,0,9551,10470.107842110774,100000,90.97026,45,31887,128,284,100000,9,34.4,63.4,70.7,74.5,90.6,134520.0,144500.0,147224.0,148148.0,299104.0
8,avg-run,10000,True,uniform,READ,0.4,9.4,408,6953052,2196763,2145741,177651,5,0,0,4,385024,681,42638,388580925,560854007,6447005680,11815940592,1120111162,168794311,22870270856558,26835462671,3547041047,79394328,1,0,0,0,0,8835,11318.619128466327,100000,83.40243,61,15151,115,187,100000,8,32.6,64.42500000000001,71.75,75.60000000000001,77.6,136208.0,143120.0,143248.0,143248.0,143248.0
9,extend,10000,True,zipfian,EXTEND,7.5,19.2,2,69017160,20646612,19999552,6222098,900353,6127682,0,0,0,681,42644,389273667,560854007,6447073928,11815984727,1120244851,168795162,22873774991539,26840302384,3547576604,79394328,0,0,0,0,1,191856,521.2242515219748,100000,1909.72809,310,159999,6335,10367,100000,182,18.4,30.4,34.75,35.875,46.2,125288.0,978552.0,2256156.0,2796191.0,3161780.0
9,run,10000,True,uniform,READ,0.4,11.7,2,73410975,21782406,21114023,6222774,900375,6128351,0,0,0,681,42644,389285381,560854007,6447074012,11815984812,1120244851,168795162,22873842237245,26840719427,3547665668,79394328,1,0,0,0,0,10967,9118.26388255676,100000,104.70185,50,20863,151,321,100000,10,34.7,68.55,74.85,77.25,78.5,845244.0,1192314.0,1207238.0,1210561.0,1211380.0
9,reference,10000,True,uniform,READ,0.4,11.7,1,2763407,1120600,912284,10119,1,0,0,0,0,681,42644,389285429,560854007,6447074012,11815984812,1120244851,168795162,22873842237245,26840719427,3547665668,79394328,1,0,0,0,0,4341,23036.1667818475,100000,38.38458,26,15255,52,89,100000,4,30.1,44.65,51.75,54.3,55.2,42820.0,42820.0,42820.0,42820.0,42820.0
9,clean-run,10000,True,uniform,READ,0.5,11.7,312,3022241,975205,964236,93013,1,0,0,4,393216,681,42645,389422730,560854007,6447074013,11816000011,1120293197,168795197,22873965833614,26840904398,3547666657,79396718,1,0,0,0,0,9778,10227.04029453876,100000,92.85618,46,33759,134,324,100000,9,46.4,67.0,71.7,74.3,74.9,157568.0,159604.0,161204.0,161392.0,311096.0
9,avg-run,10000,True,uniform,READ,0.5,11.7,314,7509362,2364693,2313671,193013,5,0,0,4,393216,681,42645,389422730,560854007,6447074013,11816014949,1120293197,168795197,22874082549397,26841115098,3547666752,79396718,1,0,0,0,0,9379,10662.117496534813,100000,88.85703,64,14663,122,189,100000,8,34.0,63.64999999999999,71.0,74.6,76.5,150764.0,162008.0,162024.0,162024.0,162024.0
10,extend,10000,True,zipfian,EXTEND,4.5,22.1,2,82571718,24908223,24186557,7624592,1000397,7525508,0,0,0,681,42652,390203190,560854007,6447112432,11816025896,1120442234,168795312,22878000140613,26846399109,3548236760,79396718,0,0,0,0,1,202803,493.0893527216067,100000,2018.74649,308,16327,6987,11167,100000,193,21.7,33.0,36.3,37.9,48.0,134800.0,1138800.0,2613584.0,3055944.0,3339960.0
10,run,10000,True,uniform,READ,0.6,12.3,2,87314810,26074007,25331018,7625296,1000419,7526206,0,0,0,681,42652,390213588,560854007,6447112520,11816025983,1120442234,168795312,22878131859983,26846952034,3548410041,79397999,1,0,0,0,0,11723,8530.239699735563,100000,112.33622,54,44095,163,313,100000,11,34.7,68.4,74.5,77.45,78.6,911768.0,1352956.0,1371576.0,1376702.0,1377940.0
10,reference,10000,True,uniform,READ,0.6,12.3,1,3065995,1245404,1013561,10119,1,0,0,0,0,681,42652,390213636,560854007,6447112520,11816025983,1120442234,168795312,22878131859983,26846952034,3548410041,79397999,1,0,0,0,0,4359,22941.04152328516,100000,38.75263,26,13191,54,83,100000,4,31.5,45.525000000000006,51.900000000000006,54.3,56.4,42824.0,42824.0,42824.0,42824.0,42824.0
10,clean-run,10000,True,uniform,READ,0.7,12.3,309,3131730,1031863,1020894,97790,8,0,0,4,385024,681,42653,390393335,560854007,6447112521,11816042659,1120491606,168795336,22878266705077,26847148295,3548411126,79404442,1,0,0,0,0,10212,9792.401096748925,100000,97.20577,48,21871,134,315,100000,9,34.4,68.4,74.1,77.4,97.0,151464.0,167352.0,170360.0,173100.0,342784.0
