Epoch,phase,duration_s,delta_checkpoints_timed,delta_checkpoints_req,delta_checkpoint_write_time,delta_checkpoint_sync_time,delta_buffers_checkpoint,delta_buffers_clean,delta_buffers_backend,delta_buffers_alloc,delta_wal_bytes,delta_wal_records
58,reference,5.684,0,0,0,0,0,2800,0,1666,0,0
58,run,68.841,0,0,162753,7851,14692,33353,3508,13702,264,4
58,vacuum,308.276,0,1,149137,9273,465441,39896,2542974,13855,1113101906,6243782
59,avg-run,58.927,0,0,0,0,1223,0,7,5,5982076,100320
59,clean-run,63.884,0,0,0,0,885,0,7,256,5042627,84662
59,extend,595.839,0,43,574143,37938,3604710,8148,814958,2231953,23455084217,25789450
59,reference,5.582,0,0,0,0,223,2800,0,1666,0,0
59,run,72.181,0,0,0,0,39612,35502,0,22910,50,1
59,vacuum,295.416,0,2,298373,17122,506088,26736,2367890,13609,1067777355,6050773
60,avg-run,59.449,0,0,0,0,1175,0,7,5,5980676,100319
60,clean-run,64.786,0,0,0,0,928,0,7,56,5122471,86038
60,extend,621.814,0,45,605051,29965,3907209,7412,612225,2326544,24437611525,26906709
60,reference,5.645,0,0,0,0,0,2800,0,1666,0,0
60,run,69.254,0,0,162951,8915,22839,34384,4357,18195,214,3
60,vacuum,306.78,0,1,146176,9046,443059,50795,2562802,13344,1070262788,6165152
61,avg-run,60.078,0,0,0,0,1159,0,7,5,5980795,100321
61,clean-run,65.188,0,0,0,0,886,0,7,56,5202652,87397
61,extend,615.553,0,45,603185,17005,4364969,5432,315204,2280282,24830028234,27475380
61,reference,5.534,0,0,0,0,234,2700,0,1666,0,0
61,run,72.613,0,0,0,0,6198,35519,0,23368,50,1
61,vacuum,327.091,0,2,162596,8678,496616,90055,2830693,11512,983430919,5769658
62,avg-run,61.169,0,0,0,0,1156,0,7,5,5980736,100320
62,clean-run,66.133,0,0,0,0,906,0,7,56,5283482,88767
62,extend,651.426,0,47,623832,46855,3815547,4225,1005526,2404224,25417424979,27780160
62,reference,5.586,0,0,0,0,0,2800,0,1666,0,0
62,run,75.504,0,0,173607,8519,24716,36600,2757,5291,264,4
62,vacuum,312.892,0,1,158380,9560,422580,58919,2529661,11479,1148559230,6566715
63,avg-run,64.461,0,0,0,0,1143,0,7,5,5981056,100320
63,clean-run,65.895,0,0,0,0,912,0,7,701,5366756,90173
63,extend,665.388,0,47,630812,46865,3632877,5345,1205866,2443922,25769058606,28101006
63,reference,5.786,0,0,0,0,6789,2900,0,1666,0,0
63,run,69.035,0,0,0,0,684,33700,0,1381,50,1
63,vacuum,310.771,0,2,157892,8013,302418,94319,2522085,11339,1184290608,6716846
64,avg-run,65.205,0,0,0,0,1154,0,7,5,5980736,100320
64,clean-run,67.702,0,0,0,0,1105,0,108,56,5443903,91486
64,extend,677.499,0,48,650770,43337,3858845,11793,1112435,2483864,26265174200,28726961
64,reference,5.35,0,0,0,0,7794,2700,0,1666,0,0
64,run,69.724,0,0,0,0,9314,33500,0,1271,50,1
64,vacuum,310.132,0,2,184782,15488,295023,89005,2544450,10451,1154354069,6586475
65,avg-run,65.858,0,0,0,0,1127,0,7,5,5980795,100321
65,clean-run,65.905,0,0,0,0,1015,0,8,641,5522314,92815
65,extend,681.085,0,49,667766,29760,4388428,2264,572992,2520498,26798295451,29325825
65,reference,5.333,0,0,0,0,7911,2600,0,1666,0,0
65,run,73.124,0,0,0,0,25309,36000,0,1395,50,1
