Epoch,source,run_quartile,n,rate_pct,latency_p50_us,latency_p95_us,key_p50_bytes,key_p95_bytes
47,read_sample,q2,250,1.0,380.5,834.5499999999993,34147.5,81055.14999999995
47,read_sample,q3,250,1.0,368.5,793.6499999999996,33466.0,68690.64999999997
47,read_sample,q4,250,1.0,374.5,1049.6999999999991,34667.5,98217.6999999999
48,read_sample,q1,250,1.0,413.5,1412.8999999999996,35071.0,67773.69999999998
48,read_sample,q2,250,1.0,393.5,782.9999999999997,37530.5,74960.15
48,read_sample,q3,250,1.0,388.0,691.4999999999995,35056.0,73136.49999999993
48,read_sample,q4,250,1.0,372.5,674.5499999999996,35015.5,67965.19999999997
49,read_sample,q1,250,1.0,413.5,1187.1499999999978,35312.5,102965.84999999992
49,read_sample,q2,250,1.0,387.0,685.6499999999996,34851.0,70996.69999999995
49,read_sample,q3,250,1.0,376.0,825.899999999999,34543.5,78140.44999999991
49,read_sample,q4,250,1.0,392.5,713.3499999999997,35555.0,69786.84999999993
50,read_sample,q1,250,1.0,415.0,1051.9999999999995,36973.0,85638.59999999995
50,read_sample,q2,250,1.0,411.0,970.2499999999998,37784.0,98996.89999999978
50,read_sample,q3,250,1.0,404.0,1002.9999999999997,37276.5,89873.24999999993
50,read_sample,q4,250,1.0,390.5,952.1999999999992,35556.5,93774.44999999997
51,read_sample,q1,250,1.0,433.5,1169.849999999998,39611.0,117196.49999999993
51,read_sample,q2,250,1.0,401.5,886.55,38135.0,101802.29999999986
51,read_sample,q3,250,1.0,413.5,697.0499999999995,38875.0,69681.24999999999
51,read_sample,q4,250,1.0,407.0,749.7499999999999,38043.0,84142.09999999996
52,read_sample,q1,250,1.0,441.0,886.8999999999996,37900.0,90855.79999999997
52,read_sample,q2,250,1.0,429.5,927.4999999999991,38460.5,92331.65
52,read_sample,q3,250,1.0,410.0,1180.4499999999982,37371.5,128213.19999999994
52,read_sample,q4,250,1.0,423.5,1043.2999999999986,39051.0,116701.99999999987
53,read_sample,q1,250,1.0,441.5,886.0499999999981,40115.0,79097.64999999998
53,read_sample,q2,250,1.0,396.0,794.1999999999996,36505.5,73720.94999999997
53,read_sample,q3,250,1.0,417.0,820.4999999999998,39406.5,85260.65
53,read_sample,q4,250,1.0,402.5,865.6499999999996,38404.5,79037.74999999994
54,read_sample,q1,250,1.0,449.5,995.9999999999997,40556.5,87925.59999999993
54,read_sample,q2,250,1.0,432.0,896.6499999999986,40956.5,94243.99999999996
54,read_sample,q3,250,1.0,420.5,920.499999999997,39790.0,93492.44999999994
54,read_sample,q4,250,1.0,436.0,968.4999999999998,40387.5,110562.15
55,read_sample,q1,250,1.0,443.0,982.5499999999996,39885.5,90311.44999999997
55,read_sample,q2,250,1.0,420.0,1036.8999999999996,39691.0,108033.39999999963
55,read_sample,q3,250,1.0,442.5,741.0499999999998,40628.0,78048.09999999998
55,read_sample,q4,250,1.0,437.5,834.1999999999999,41809.5,94554.34999999995
56,read_sample,q1,250,1.0,440.5,1032.2999999999995,39945.5,92628.05
56,read_sample,q2,250,1.0,441.5,1167.7999999999988,41151.0,103638.39999999979
56,read_sample,q3,250,1.0,431.5,1016.2499999999991,41566.0,102740.29999999997
56,read_sample,q4,250,1.0,426.0,954.1499999999994,40578.0,95538.14999999997
57,read_sample,q1,250,1.0,469.0,1316.9999999999982,40691.0,90443.0
57,read_sample,q2,250,1.0,439.5,1047.3999999999999,41416.5,103422.94999999992
57,read_sample,q3,250,1.0,429.0,848.6999999999994,40935.0,81985.8
57,read_sample,q4,250,1.0,454.5,913.1999999999996,43021.5,91673.69999999998
58,read_sample,q1,250,1.0,459.5,1707.1499999999994,40462.5,114639.49999999985
58,read_sample,q2,250,1.0,471.5,959.2499999999998,43917.5,89366.99999999996
58,read_sample,q3,250,1.0,454.0,1037.2999999999993,44320.0,107818.3499999999
58,read_sample,q4,250,1.0,428.5,782.8999999999996,40328.5,67427.14999999997
59,read_sample,q1,250,1.0,506.5,1752.0,43820.5,92655.84999999993
59,read_sample,q2,250,1.0,459.5,1179.4999999999998,43856.5,117376.34999999985
59,read_sample,q3,250,1.0,452.0,785.5499999999996,42940.5,86604.0
59,read_sample,q4,250,1.0,466.5,808.7499999999995,45512.0,89003.94999999997
60,read_sample,q1,250,1.0,495.0,2043.499999999999,42805.0,80734.89999999997
60,read_sample,q2,250,1.0,468.0,952.4499999999987,46710.0,95025.24999999996
60,read_sample,q3,250,1.0,447.0,784.1999999999999,41992.0,78348.79999999993
60,read_sample,q4,250,1.0,450.0,849.2499999999994,43303.0,91510.24999999997
61,read_sample,q1,250,1.0,530.5,1824.599999999998,47578.5,98377.94999999987
61,read_sample,q2,250,1.0,462.5,1337.199999999999,43629.0,94110.79999999987
61,read_sample,q3,250,1.0,460.5,979.8999999999996,44467.0,94405.84999999999
61,read_sample,q4,250,1.0,470.5,966.7499999999995,45910.5,104002.69999999998
62,read_sample,q1,250,1.0,497.0,1384.4999999999982,45698.5,108882.29999999989
62,read_sample,q2,250,1.0,462.0,1000.7499999999999,46634.5,99452.2499999999
62,read_sample,q3,250,1.0,464.0,872.3999999999999,45020.5,80579.89999999997
62,read_sample,q4,250,1.0,474.0,1011.0999999999999,45771.5,105641.99999999987
63,read_sample,q1,250,1.0,482.0,939.65,45146.5,77309.7
63,read_sample,q2,250,1.0,489.5,905.4499999999994,46086.5,88420.14999999988
63,read_sample,q3,250,1.0,459.0,1093.8499999999992,43642.5,125620.84999999996
63,read_sample,q4,250,1.0,484.5,1067.9999999999995,48295.5,98777.35
64,read_sample,q1,250,1.0,497.0,1082.0999999999992,46385.5,93550.99999999999
64,read_sample,q2,250,1.0,498.5,904.0,47232.5,108547.64999999994
64,read_sample,q3,250,1.0,478.5,1115.4999999999995,45452.5,124444.84999999998
64,read_sample,q4,250,1.0,471.5,968.55,45768.5,109962.24999999999
65,read_sample,q1,250,1.0,496.5,1024.7499999999995,46123.5,96778.69999999982
65,read_sample,q2,250,1.0,479.0,959.2499999999998,46421.0,109871.44999999997
65,read_sample,q3,250,1.0,501.5,938.7999999999987,48217.5,100821.49999999996
65,read_sample,q4,250,1.0,495.5,1091.9499999999998,47427.0,113058.99999999994
66,read_sample,q1,250,1.0,544.0,1623.549999999997,50750.5,97906.14999999972
66,read_sample,q2,250,1.0,506.0,1211.7499999999995,49313.5,97498.15
66,read_sample,q3,250,1.0,504.0,1126.3499999999997,50200.5,125504.79999999999
66,read_sample,q4,250,1.0,491.0,977.7999999999987,46642.0,85852.99999999997
67,read_sample,q1,250,1.0,549.5,1583.799999999997,53382.5,98628.79999999999
67,read_sample,q2,250,1.0,536.5,1260.6999999999994,52162.5,95880.05
67,read_sample,q3,250,1.0,480.0,1038.3999999999978,47681.0,108440.89999999997
67,read_sample,q4,250,1.0,489.0,986.4999999999991,47018.0,104639.14999999994
68,read_sample,q1,250,1.0,537.5,1484.4499999999982,48167.5,113006.44999999982
68,read_sample,q2,250,1.0,512.5,1020.6999999999987,48723.5,92573.39999999998
68,read_sample,q3,250,1.0,502.0,1128.1499999999994,48479.5,123435.64999999982
68,read_sample,q4,250,1.0,515.5,1122.4499999999996,48896.5,108225.9
69,read_sample,q1,250,1.0,580.0,1449.2999999999981,49910.0,83882.84999999999
69,read_sample,q2,250,1.0,529.0,1168.0,51053.0,122529.14999999995
69,read_sample,q3,250,1.0,532.0,1081.3999999999996,52334.5,102533.5999999999
69,read_sample,q4,250,1.0,516.5,894.0999999999999,49098.5,92300.09999999999
70,read_sample,q1,250,1.0,557.0,1786.1999999999994,51774.5,114076.19999999995
70,read_sample,q2,250,1.0,526.0,1029.6999999999994,51062.5,104968.99999999997
70,read_sample,q3,250,1.0,522.0,964.3999999999995,50702.0,99218.44999999997
70,read_sample,q4,250,1.0,529.0,1060.049999999997,51631.5,110372.99999999981
71,read_sample,q1,250,1.0,632.5,3551.949999999994,51064.0,102779.64999999997
71,read_sample,q2,250,1.0,535.0,1125.249999999999,52422.0,115435.04999999999
71,read_sample,q3,250,1.0,500.0,979.7499999999989,49271.5,106300.09999999995
71,read_sample,q4,250,1.0,552.0,1125.0999999999997,52390.5,119557.44999999998
72,read_sample,q1,250,1.0,585.5,1819.6499999999996,52818.0,99480.59999999996
72,read_sample,q2,250,1.0,553.5,1478.9499999999996,53601.0,146027.44999999946
72,read_sample,q3,250,1.0,538.0,1446.75,53471.0,173513.24999999983
72,read_sample,q4,250,1.0,525.0,1001.9499999999991,50926.0,113844.59999999995
73,read_sample,q1,250,1.0,627.0,3688.2999999999984,54351.0,123390.34999999969
73,read_sample,q2,250,1.0,543.5,1247.8499999999985,54474.0,107342.29999999994
73,read_sample,q3,250,1.0,556.0,1059.75,53613.0,111611.74999999997
73,read_sample,q4,250,1.0,560.0,1586.4999999999975,56373.5,167261.64999999988
74,read_sample,q1,250,1.0,599.0,2521.049999999998,53082.0,116486.34999999998
74,read_sample,q2,250,1.0,551.0,1163.1499999999994,52840.0,106254.94999999998
74,read_sample,q3,250,1.0,539.5,1045.6999999999998,51934.0,122735.5499999998
74,read_sample,q4,250,1.0,522.0,1125.9499999999991,51180.5,127659.04999999999
75,read_sample,q1,250,1.0,615.5,1726.7499999999986,58688.5,133884.64999999997
75,read_sample,q2,250,1.0,540.0,1099.5999999999995,52614.5,118669.64999999995
75,read_sample,q3,250,1.0,561.0,1066.2499999999998,56504.0,115230.09999999999
75,read_sample,q4,250,1.0,550.0,1152.999999999999,56150.5,116134.94999999994
76,read_sample,q1,250,1.0,601.5,2345.19999999999,54432.5,128816.69999999995
76,read_sample,q2,250,1.0,586.0,1798.7499999999986,54364.5,132284.44999999992
76,read_sample,q3,250,1.0,570.5,1360.3499999999974,56097.0,160191.04999999955
76,read_sample,q4,250,1.0,534.5,1033.1499999999999,54074.5,96719.64999999998
77,read_sample,q1,250,1.0,619.5,1740.9999999999993,56456.5,127611.64999999983
77,read_sample,q2,250,1.0,584.0,1239.1,56465.0,131991.5999999998
77,read_sample,q3,250,1.0,581.0,1075.0,59720.5,108558.4
77,read_sample,q4,250,1.0,559.0,1042.3,54649.0,108460.34999999986
78,read_sample,q1,250,1.0,636.5,1550.3999999999999,59704.0,126868.29999999974
78,read_sample,q2,250,1.0,598.5,1182.3999999999996,58973.0,113049.39999999989
78,read_sample,q3,250,1.0,577.5,1334.6999999999964,58516.0,140315.4999999999
78,read_sample,q4,250,1.0,561.5,1192.7499999999993,56080.5,140336.24999999994
79,read_sample,q1,250,1.0,643.5,2525.1999999999994,59189.5,133109.1499999999
79,read_sample,q2,250,1.0,588.5,1162.0999999999985,60974.5,127760.44999999975
79,read_sample,q3,250,1.0,598.5,1193.3999999999985,58811.5,122229.04999999994
79,read_sample,q4,250,1.0,588.0,1142.7999999999997,58843.5,125703.4
80,read_sample,q1,250,1.0,641.0,3397.549999999994,58576.5,126184.74999999996
80,read_sample,q2,250,1.0,585.5,1678.249999999999,57537.0,118550.44999999998
80,read_sample,q3,250,1.0,588.0,1158.7999999999997,56930.0,129719.6499999999
80,read_sample,q4,250,1.0,564.5,1136.8499999999988,56710.5,122469.39999999998
81,read_sample,q1,250,1.0,686.0,3748.9499999999994,63398.5,142912.7
81,read_sample,q2,250,1.0,588.0,1459.1499999999992,57595.0,110572.89999999995
81,read_sample,q3,250,1.0,614.0,1467.2999999999988,62096.5,143340.34999999995
81,read_sample,q4,250,1.0,586.0,1024.3499999999997,58533.0,111657.39999999998
82,read_sample,q1,250,1.0,715.0,2813.7999999999975,61288.0,135529.19999999992
82,read_sample,q2,250,1.0,588.0,1486.499999999999,59060.5,128743.09999999985
82,read_sample,q3,250,1.0,616.5,1122.6,58132.0,125383.1
82,read_sample,q4,250,1.0,593.5,1381.9499999999975,57153.5,150275.54999999973
83,read_sample,q1,250,1.0,744.0,4374.649999999999,58212.5,145408.85
83,read_sample,q2,250,1.0,601.0,1550.0499999999997,58488.5,129366.54999999994
83,read_sample,q3,250,1.0,597.5,1185.3499999999988,59959.5,117073.89999999994
83,read_sample,q4,250,1.0,600.0,1075.5499999999997,58656.0,105766.64999999989
84,read_sample,q1,250,1.0,684.0,3322.1499999999996,59941.0,178148.54999999976
84,read_sample,q2,250,1.0,583.5,1538.85,58421.0,138713.84999999974
84,read_sample,q3,250,1.0,599.0,1569.0499999999984,61820.5,130681.29999999996
84,read_sample,q4,250,1.0,598.5,1301.1499999999999,59258.0,124033.45
85,read_sample,q1,250,1.0,692.5,5278.299999999991,60711.5,132276.19999999998
85,read_sample,q2,250,1.0,616.0,1226.85,58367.0,113300.69999999995
85,read_sample,q3,250,1.0,644.5,1396.6999999999998,62079.0,156874.99999999985
85,read_sample,q4,250,1.0,629.0,1311.9499999999996,61725.0,146848.94999999998
86,read_sample,q1,250,1.0,719.0,2350.65,63322.0,109949.54999999996
