run_name,epoch,timestamp_unix_ms,relation,phase,heap_blks_total,heap_blks_scanned,heap_blks_vacuumed,index_vacuum_count,max_dead_tuples,num_dead_tuples
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,21,1777550051455,pg_toast.pg_toast_862726372,scanning heap,573484,344445,0,0,11184809,1241955
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,21,1777550052492,pg_toast.pg_toast_862726372,vacuuming heap,573484,573484,192036,1,11184809,2119604
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,21,1777550053533,pg_toast.pg_toast_862726372,vacuuming heap,573484,573484,253578,1,11184809,2119604
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,22,1777550469220,pg_toast.pg_toast_862726372,scanning heap,589821,16600,0,0,11184809,60772
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,22,1777550469220,usertable,scanning heap,5801,7,0,0,1688091,1
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,22,1777550470260,pg_toast.pg_toast_2619,scanning heap,218,123,0,0,63438,431
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,22,1777550470260,pg_toast.pg_toast_862726372,scanning heap,589821,18730,0,0,11184809,68576
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,22,1777550471298,pg_toast.pg_toast_862726372,scanning heap,589821,232128,0,0,11184809,732852
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,22,1777550472336,pg_toast.pg_toast_862726372,scanning heap,589821,272678,0,0,11184809,888903
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,22,1777550473373,pg_toast.pg_toast_862726372,scanning heap,589821,500351,0,0,11184809,1761035
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,22,1777550474411,pg_toast.pg_toast_862726372,vacuuming heap,589821,589821,109617,1,11184809,2106911
